date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2022-04-09,10274,100.0,1,1,1,1,input
2022-04-10,8421,44.0,4,4,2,1,input
2022-04-11,3874,28.0,0,0,3,1,input
2022-04-12,3323,17.0,0,0,4,1,input
2022-04-13,2874,14.0,0,0,5,1,input
2022-04-14,4871,23.0,0,0,6,1,input
2022-04-15,2854,25.0,0,0,7,1,input
2022-04-16,9016,46.0,0,0,8,2,input
2022-04-17,6138,27.0,1,1,9,2,input
2022-04-18,4132,16.0,0,0,10,2,input
2022-04-19,3347,13.0,0,0,11,2,input
2022-04-20,2812,9.0,0,0,12,2,input
2022-04-21,3887,19.0,0,0,13,2,input
2022-04-22,2483,10.0,0,0,14,2,input
2022-04-23,8382,36.0,2,2,15,3,input
2022-04-24,6670,21.0,0,0,16,3,input
2022-04-25,3828,11.0,1,1,17,3,input
2022-04-26,3262,12.0,0,0,18,3,input
2022-04-27,2711,12.0,0,0,19,3,input
2022-04-28,3351,14.0,0,0,20,3,input
2022-04-29,3418,21.0,1,1,21,3,input
2022-04-30,6130,33.0,1,1,22,4,input
2022-05-01,4722,23.0,0,0,23,4,input
2022-05-02,3430,13.0,0,0,24,4,input
2022-05-03,3545,11.0,0,0,25,4,input
2022-05-04,3043,10.0,1,1,26,4,input
2022-05-05,4514,14.0,0,0,27,4,input
2022-05-06,3150,10.0,0,0,28,4,input
2022-05-09,3684,13.0,2,2,31,5,Y_1m
2022-07-08,2500,12.0,0,0,91,13,Y_3m
