date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2019-07-08,23720,95.0,2,2,1,1,input
2019-07-09,28854,100.0,2,2,2,1,input
2019-07-10,14937,60.0,0,0,3,1,input
2019-07-11,9887,41.0,3,3,4,1,input
2019-07-12,9060,42.0,1,1,5,1,input
2019-07-13,10042,48.0,0,0,6,1,input
2019-07-14,10088,50.0,1,1,7,1,input
2019-07-15,23243,82.0,2,2,8,2,input
2019-07-16,26544,100.0,1,1,9,2,input
2019-07-17,14179,59.0,0,0,10,2,input
2019-07-18,8733,44.0,1,1,11,2,input
2019-07-19,8501,44.0,1,1,12,2,input
2019-07-20,8810,43.0,0,0,13,2,input
2019-07-21,8576,43.0,0,0,14,2,input
2019-07-22,12216,61.0,1,1,15,3,input
2019-07-23,13944,67.0,0,0,16,3,input
2019-07-24,8838,47.0,0,0,17,3,input
2019-07-25,6348,37.0,1,1,18,3,input
2019-07-26,6149,39.0,0,0,19,3,input
2019-07-27,6547,37.0,0,0,20,3,input
2019-07-28,6385,35.0,1,1,21,3,input
2019-07-29,9451,54.0,2,2,22,4,input
2019-07-30,10702,57.0,0,0,23,4,input
2019-07-31,6490,46.0,1,1,24,4,input
2019-08-01,4735,31.0,0,0,25,4,input
2019-08-02,4687,31.0,0,0,26,4,input
2019-08-03,4740,36.0,0,0,27,4,input
2019-08-04,4849,34.0,1,1,28,4,input
2019-08-07,6864,41.0,0,0,31,5,Y_1m
2019-10-06,7298,49.0,0,0,91,13,Y_3m
