date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2017-04-01,12166,62.0,3,3,1,1,input
2017-04-02,14691,76.0,1,1,2,1,input
2017-04-03,8982,36.0,1,1,3,1,input
2017-04-04,6389,23.0,0,0,4,1,input
2017-04-05,5813,25.0,1,1,5,1,input
2017-04-06,5858,22.0,0,0,6,1,input
2017-04-07,5742,27.0,1,1,7,1,input
2017-04-08,7950,59.0,1,1,8,2,input
2017-04-09,8367,59.0,0,0,9,2,input
2017-04-10,5496,27.0,0,0,10,2,input
2017-04-11,4610,21.0,0,0,11,2,input
2017-04-12,3814,15.0,0,0,12,2,input
2017-04-13,3694,16.0,0,0,13,2,input
2017-04-14,3645,20.0,1,1,14,2,input
2017-04-15,5825,56.0,1,1,15,3,input
2017-04-16,6701,68.0,1,1,16,3,input
2017-04-17,4705,29.0,0,0,17,3,input
2017-04-18,3651,22.0,1,1,18,3,input
2017-04-19,2781,17.0,0,0,19,3,input
2017-04-20,2740,16.0,0,0,20,3,input
2017-04-21,2780,22.0,0,0,21,3,input
2017-05-01,3077,47.0,0,0,31,5,Y_1m
2017-05-31,1899,25.0,0,0,61,9,Y_2m
2017-06-30,2150,15.0,0,0,91,13,Y_3m
