date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2019-04-29,10477,0.0,2,2,1,1,input
2019-04-30,7140,0.0,0,0,2,1,input
2019-05-01,5757,0.0,0,0,3,1,input
2019-05-02,5159,0.0,0,0,4,1,input
2019-05-03,5410,0.0,0,0,5,1,input
2019-05-04,6001,0.0,0,0,6,1,input
2019-05-05,11891,0.0,3,3,7,1,input
2019-05-06,9945,99.0,4,4,8,2,input
2019-05-07,3952,0.0,1,1,9,2,input
2019-05-08,3233,0.0,0,0,10,2,input
2019-05-09,3977,0.0,0,0,11,2,input
2019-05-10,3214,0.0,0,0,12,2,input
2019-05-11,4606,0.0,0,0,13,2,input
2019-05-12,9943,0.0,2,2,14,2,input
2019-05-13,8238,0.0,1,1,15,3,input
2019-05-14,6234,0.0,0,0,16,3,input
2019-05-15,5339,0.0,1,1,17,3,input
2019-05-16,5837,0.0,0,0,18,3,input
2019-05-17,3509,0.0,0,0,19,3,input
2019-05-18,4182,0.0,0,0,20,3,input
2019-05-19,6620,0.0,2,2,21,3,input
2019-05-20,7999,0.0,0,0,22,4,input
2019-05-21,6193,0.0,0,0,23,4,input
2019-05-22,5898,0.0,0,0,24,4,input
2019-05-23,4688,0.0,0,0,25,4,input
2019-05-24,4463,0.0,2,2,26,4,input
2019-05-25,5867,0.0,0,0,27,4,input
2019-05-26,12868,0.0,0,0,28,4,input
2019-05-29,6672,0.0,0,0,31,5,Y_1m
2019-07-28,3644,0.0,0,0,91,13,Y_3m
