date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2023-07-08,4807,100.0,1,1,1,1,input
2023-07-09,5331,94.0,2,2,2,1,input
2023-07-10,3107,43.0,0,0,3,1,input
2023-07-11,2516,29.0,0,0,4,1,input
2023-07-12,2354,18.0,0,0,5,1,input
2023-07-13,2044,22.0,0,0,6,1,input
2023-07-14,2203,12.0,0,0,7,1,input
2023-07-15,3736,28.0,1,1,8,2,input
2023-07-16,3524,40.0,1,1,9,2,input
2023-07-17,2837,23.0,0,0,10,2,input
2023-07-18,2046,20.0,0,0,11,2,input
2023-07-19,1915,19.0,0,0,12,2,input
2023-07-20,1635,14.0,0,0,13,2,input
2023-07-21,1626,13.0,0,0,14,2,input
2023-07-22,3489,29.0,1,1,15,3,input
2023-07-23,3567,32.0,1,1,16,3,input
2023-07-24,2189,13.0,0,0,17,3,input
2023-07-25,1941,15.0,0,0,18,3,input
2023-07-26,1973,13.0,0,0,19,3,input
2023-07-27,1812,0.0,0,0,20,3,input
2023-07-28,1885,0.0,1,1,21,3,input
2023-08-07,2533,22.0,1,1,31,5,Y_1m
2023-10-06,2339,19.0,0,0,91,13,Y_3m
