date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2022-10-08,12637,24.0,3,3,1,1,input
2022-10-09,22982,34.0,4,4,2,1,input
2022-10-10,15156,25.0,5,5,3,1,input
2022-10-11,9926,19.0,0,0,4,1,input
2022-10-12,7783,17.0,1,1,5,1,input
2022-10-13,6426,15.0,0,0,6,1,input
2022-10-14,6383,15.0,1,1,7,1,input
2022-10-15,11536,23.0,3,3,8,2,input
2022-10-16,16110,29.0,3,3,9,2,input
2022-10-17,10525,21.0,1,1,10,2,input
2022-10-18,8115,17.0,0,0,11,2,input
2022-10-19,6611,16.0,0,0,12,2,input
2022-10-20,5264,14.0,0,0,13,2,input
2022-10-21,4871,14.0,0,0,14,2,input
2022-10-22,8518,22.0,1,1,15,3,input
2022-10-23,12549,25.0,0,0,16,3,input
2022-10-24,8820,18.0,1,1,17,3,input
2022-10-25,6305,18.0,0,0,18,3,input
2022-10-26,6148,16.0,0,0,19,3,input
2022-10-27,5152,15.0,0,0,20,3,input
2022-10-28,4647,13.0,1,1,21,3,input
2022-11-07,6834,18.0,2,2,31,5,Y_1m
2023-01-06,6907,45.0,1,1,91,13,Y_3m
