date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2021-10-01,10158,100.0,1,1,1,1,input
2021-10-02,16297,73.0,2,2,2,1,input
2021-10-03,11470,60.0,1,1,3,1,input
2021-10-04,7083,40.0,0,0,4,1,input
2021-10-05,5326,24.0,0,0,5,1,input
2021-10-06,4953,33.0,0,0,6,1,input
2021-10-07,3953,24.0,0,0,7,1,input
2021-10-08,6807,44.0,1,1,8,2,input
2021-10-09,10721,41.0,0,0,9,2,input
2021-10-10,8728,33.0,0,0,10,2,input
2021-10-11,8675,32.0,0,0,11,2,input
2021-10-12,6136,21.0,0,0,12,2,input
2021-10-13,5139,21.0,1,1,13,2,input
2021-10-14,4351,11.0,1,1,14,2,input
2021-10-15,6649,34.0,2,2,15,3,input
2021-10-16,9795,29.0,1,1,16,3,input
2021-10-17,7505,22.0,0,0,17,3,input
2021-10-18,5399,8.0,2,2,18,3,input
2021-10-19,4185,18.0,0,0,19,3,input
2021-10-20,3978,17.0,0,0,20,3,input
2021-10-21,3662,9.0,0,0,21,3,input
2021-10-31,4025,12.0,0,0,31,5,Y_1m
2021-11-30,2679,11.0,0,0,61,9,Y_2m
2021-12-30,2276,12.0,1,1,91,13,Y_3m
