date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2023-04-02,13974,35.0,1,1,1,1,input
2023-04-03,7601,26.0,2,2,2,1,input
2023-04-04,5262,23.0,1,1,3,1,input
2023-04-05,4711,25.0,0,0,4,1,input
2023-04-06,4164,20.0,0,0,5,1,input
2023-04-07,3566,19.0,1,1,6,1,input
2023-04-08,7229,34.0,2,2,7,1,input
2023-04-09,8521,32.0,0,0,8,2,input
2023-04-10,4551,23.0,0,0,9,2,input
2023-04-11,3959,36.0,0,0,10,2,input
2023-04-12,3630,21.0,0,0,11,2,input
2023-04-13,2886,18.0,0,0,12,2,input
2023-04-14,2398,15.0,0,0,13,2,input
2023-04-15,5482,22.0,3,3,14,2,input
2023-04-16,6696,26.0,0,0,15,3,input
2023-04-17,3656,18.0,0,0,16,3,input
2023-04-18,2999,18.0,0,0,17,3,input
2023-04-19,2627,17.0,2,2,18,3,input
2023-04-20,2331,14.0,1,1,19,3,input
2023-04-21,2213,15.0,0,0,20,3,input
2023-04-22,5517,25.0,2,2,21,3,input
2023-04-23,7483,27.0,0,0,22,4,input
2023-04-24,4007,24.0,0,0,23,4,input
2023-04-25,3595,38.0,1,1,24,4,input
2023-04-26,3109,24.0,0,0,25,4,input
2023-04-27,2439,16.0,0,0,26,4,input
2023-04-28,2209,17.0,0,0,27,4,input
2023-04-29,6133,33.0,1,1,28,4,input
2023-05-02,3550,39.0,0,0,31,5,Y_1m
2023-07-01,3665,31.0,0,0,91,13,Y_3m
