date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2019-10-02,526,82.0,2,2,1,1,input
2019-10-03,647,65.0,0,0,2,1,input
2019-10-04,426,67.0,0,0,3,1,input
2019-10-05,323,49.0,0,0,4,1,input
2019-10-06,316,41.0,0,0,5,1,input
2019-10-07,195,0.0,0,0,6,1,input
2019-10-08,196,0.0,0,0,7,1,input
2019-10-09,281,46.0,0,0,8,2,input
2019-10-10,416,42.0,0,0,9,2,input
2019-10-11,289,60.0,0,0,10,2,input
2019-10-12,278,51.0,0,0,11,2,input
2019-10-13,261,50.0,0,0,12,2,input
2019-10-14,231,81.0,0,0,13,2,input
2019-10-15,164,0.0,0,0,14,2,input
2019-10-16,243,59.0,0,0,15,3,input
2019-10-17,227,62.0,0,0,16,3,input
2019-10-18,166,45.0,0,0,17,3,input
2019-10-19,179,32.0,0,0,18,3,input
2019-10-20,182,0.0,0,0,19,3,input
2019-10-21,154,0.0,0,0,20,3,input
2019-10-22,178,0.0,0,0,21,3,input
2019-11-01,209,0.0,0,0,31,5,Y_1m
2019-12-31,604,0.0,0,0,91,13,Y_3m
