date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2022-10-11,38963,94.0,5,5,1,1,input
2022-10-12,72343,100.0,10,10,2,1,input
2022-10-13,51615,67.0,6,6,3,1,input
2022-10-14,39274,49.0,3,3,4,1,input
2022-10-15,40520,56.0,3,3,5,1,input
2022-10-16,34509,45.0,3,3,6,1,input
2022-10-17,27481,38.0,2,2,7,1,input
2022-10-18,36478,58.0,7,7,8,2,input
2022-10-19,43032,65.0,6,6,9,2,input
2022-10-20,33327,46.0,4,4,10,2,input
2022-10-21,26420,39.0,2,2,11,2,input
2022-10-22,28981,43.0,2,2,12,2,input
2022-10-23,26093,36.0,1,1,13,2,input
2022-10-24,20064,32.0,1,1,14,2,input
2022-10-25,24051,46.0,6,6,15,3,input
2022-10-26,29043,52.0,8,8,16,3,input
2022-10-27,31867,63.0,2,2,17,3,input
2022-10-28,27743,52.0,0,0,18,3,input
2022-10-29,28516,50.0,1,1,19,3,input
2022-10-30,25908,48.0,1,1,20,3,input
2022-10-31,25720,67.0,2,2,21,3,input
2022-11-10,31796,56.0,1,1,31,5,Y_1m
2022-12-10,26277,39.0,1,1,61,9,Y_2m
2023-01-09,16412,29.0,0,0,91,13,Y_3m
2023-02-08,6588,20.0,1,1,121,18,Y_4m
2023-03-10,3780,12.0,0,0,151,22,Y_5m
