date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2018-01-13,21713,82.0,6,6,1,1,input
2018-01-14,28410,100.0,6,6,2,1,input
2018-01-15,12487,51.0,2,2,3,1,input
2018-01-16,11211,37.0,0,0,4,1,input
2018-01-17,8357,25.0,1,1,5,1,input
2018-01-18,6832,27.0,0,0,6,1,input
2018-01-19,5613,29.0,0,0,7,1,input
2018-01-20,19111,67.0,4,4,8,2,input
2018-01-21,25064,93.0,5,5,9,2,input
2018-01-22,12532,49.0,4,4,10,2,input
2018-01-23,11613,47.0,0,0,11,2,input
2018-01-24,8418,36.0,3,3,12,2,input
2018-01-25,6455,23.0,2,2,13,2,input
2018-01-26,5749,28.0,2,2,14,2,input
2018-01-27,16259,52.0,1,1,15,3,input
2018-01-28,21614,75.0,8,8,16,3,input
2018-01-29,11356,46.0,0,0,17,3,input
2018-01-30,10225,43.0,1,1,18,3,input
2018-01-31,8304,34.0,1,1,19,3,input
2018-02-01,6863,32.0,1,1,20,3,input
2018-02-02,7251,28.0,1,1,21,3,input
2018-02-03,15960,52.0,3,3,22,4,input
2018-02-04,20129,73.0,1,1,23,4,input
2018-02-05,11602,48.0,0,0,24,4,input
2018-02-06,10862,29.0,2,2,25,4,input
2018-02-07,8819,34.0,1,1,26,4,input
2018-02-08,8465,33.0,3,3,27,4,input
2018-02-09,8382,33.0,7,7,28,4,input
2018-02-12,13649,43.0,3,3,31,5,Y_1m
2018-04-13,6844,9.0,1,1,91,13,Y_3m
