date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2020-07-09,1343,100.0,0,0,1,1,input
2020-07-10,385,51.0,0,0,2,1,input
2020-07-11,336,51.0,0,0,3,1,input
2020-07-12,628,26.0,0,0,4,1,input
2020-07-13,401,40.0,0,0,5,1,input
2020-07-14,435,32.0,0,0,6,1,input
2020-07-15,906,42.0,0,0,7,1,input
2020-07-16,524,52.0,0,0,8,2,input
2020-07-17,307,31.0,0,0,9,2,input
2020-07-18,332,27.0,0,0,10,2,input
2020-07-19,444,45.0,0,0,11,2,input
2020-07-20,404,26.0,0,0,12,2,input
2020-07-21,316,0.0,0,0,13,2,input
2020-07-22,865,37.0,0,0,14,2,input
2020-07-23,706,48.0,0,0,15,3,input
2020-07-24,330,0.0,0,0,16,3,input
2020-07-25,269,25.0,0,0,17,3,input
2020-07-26,262,32.0,0,0,18,3,input
2020-07-27,207,0.0,0,0,19,3,input
2020-07-28,252,37.0,0,0,20,3,input
2020-07-29,347,36.0,0,0,21,3,input
2020-07-30,327,0.0,0,0,22,4,input
2020-07-31,302,31.0,0,0,23,4,input
2020-08-01,242,30.0,0,0,24,4,input
2020-08-02,274,0.0,0,0,25,4,input
2020-08-03,267,0.0,0,0,26,4,input
2020-08-04,350,27.0,0,0,27,4,input
2020-08-05,432,0.0,0,0,28,4,input
2020-08-08,230,43.0,0,0,31,5,Y_1m
2020-10-07,347,0.0,0,0,91,13,Y_3m
