date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2019-07-05,18985,99.0,5,5,1,1,input
2019-07-06,22411,100.0,1,1,2,1,input
2019-07-07,13235,69.0,3,3,3,1,input
2019-07-08,10925,65.0,1,1,4,1,input
2019-07-09,8619,46.0,1,1,5,1,input
2019-07-10,6988,38.0,1,1,6,1,input
2019-07-11,8391,44.0,0,0,7,1,input
2019-07-12,18176,55.0,3,3,8,2,input
2019-07-13,19482,63.0,0,0,9,2,input
2019-07-14,13867,41.0,1,1,10,2,input
2019-07-15,11175,46.0,0,0,11,2,input
2019-07-16,8704,31.0,0,0,12,2,input
2019-07-17,7558,40.0,0,0,13,2,input
2019-07-18,8385,24.0,0,0,14,2,input
2019-07-19,11743,42.0,2,2,15,3,input
2019-07-20,12439,35.0,2,2,16,3,input
2019-07-21,9115,45.0,1,1,17,3,input
2019-07-22,6894,28.0,1,1,18,3,input
2019-07-23,5858,21.0,0,0,19,3,input
2019-07-24,5446,17.0,1,1,20,3,input
2019-07-25,6169,21.0,1,1,21,3,input
2019-08-04,6662,22.0,1,1,31,5,Y_1m
2019-09-03,6615,26.0,2,2,61,9,Y_2m
2019-10-03,7121,29.0,0,0,91,13,Y_3m
2019-11-02,11626,37.0,0,0,121,18,Y_4m
2019-12-02,5094,32.0,0,0,151,22,Y_5m
