date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2020-01-05,17797,76.0,1,1,1,1,input
2020-01-06,22354,100.0,2,2,2,1,input
2020-01-07,13257,65.0,0,0,3,1,input
2020-01-08,9470,21.0,0,0,4,1,input
2020-01-09,7618,37.0,0,0,5,1,input
2020-01-10,6780,28.0,3,3,6,1,input
2020-01-11,7621,43.0,2,2,7,1,input
2020-01-12,13246,58.0,1,1,8,2,input
2020-01-13,14774,69.0,0,0,9,2,input
2020-01-14,8141,41.0,0,0,10,2,input
2020-01-15,6608,0.0,0,0,11,2,input
2020-01-16,5639,37.0,0,0,12,2,input
2020-01-17,4395,26.0,0,0,13,2,input
2020-01-18,4718,35.0,0,0,14,2,input
2020-01-19,8464,49.0,1,1,15,3,input
2020-01-20,8930,26.0,0,0,16,3,input
2020-01-21,5925,22.0,0,0,17,3,input
2020-01-22,4344,21.0,0,0,18,3,input
2020-01-23,3812,0.0,0,0,19,3,input
2020-01-24,3631,24.0,0,0,20,3,input
2020-01-25,4214,25.0,4,4,21,3,input
2020-01-26,8084,0.0,2,2,22,4,input
2020-01-27,8469,34.0,2,2,23,4,input
2020-01-28,5855,24.0,3,3,24,4,input
2020-01-29,4758,34.0,1,1,25,4,input
2020-01-30,4514,0.0,2,2,26,4,input
2020-01-31,4016,0.0,0,0,27,4,input
2020-02-01,4676,28.0,1,1,28,4,input
2020-02-04,8443,27.0,0,0,31,5,Y_1m
2020-04-04,4059,27.0,0,0,91,13,Y_3m
