date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2019-07-06,42478,100.0,4,4,1,1,input
2019-07-07,28318,50.0,0,0,2,1,input
2019-07-08,16966,45.0,0,0,3,1,input
2019-07-09,12269,35.0,0,0,4,1,input
2019-07-10,10155,25.0,0,0,5,1,input
2019-07-11,8946,44.0,0,0,6,1,input
2019-07-12,16463,22.0,2,2,7,1,input
2019-07-13,23042,55.0,2,2,8,2,input
2019-07-14,17517,0.0,2,2,9,2,input
2019-07-15,14410,0.0,0,0,10,2,input
2019-07-16,10196,0.0,0,0,11,2,input
2019-07-17,8545,0.0,0,0,12,2,input
2019-07-18,9565,0.0,1,1,13,2,input
2019-07-19,22707,45.0,4,4,14,2,input
2019-07-20,13553,28.0,1,1,15,3,input
2019-07-21,10107,0.0,3,3,16,3,input
2019-07-22,6872,0.0,1,1,17,3,input
2019-07-23,5290,0.0,0,0,18,3,input
2019-07-24,5160,0.0,0,0,19,3,input
2019-07-25,5221,34.0,2,2,20,3,input
2019-07-26,12122,26.0,2,2,21,3,input
2019-08-05,9960,0.0,0,0,31,5,Y_1m
2019-10-04,6415,25.0,0,0,91,13,Y_3m
