date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2019-01-10,12352,42.0,4,4,1,1,input
2019-01-11,26276,57.0,6,6,2,1,input
2019-01-12,28540,55.0,2,2,3,1,input
2019-01-13,23312,46.0,1,1,4,1,input
2019-01-14,17814,39.0,3,3,5,1,input
2019-01-15,11978,32.0,2,2,6,1,input
2019-01-16,10342,31.0,3,3,7,1,input
2019-01-17,11517,34.0,2,2,8,2,input
2019-01-18,17360,46.0,1,1,9,2,input
2019-01-19,18711,46.0,2,2,10,2,input
2019-01-20,17240,38.0,4,4,11,2,input
2019-01-21,11060,30.0,1,1,12,2,input
2019-01-22,8979,30.0,1,1,13,2,input
2019-01-23,8366,29.0,2,2,14,2,input
2019-01-24,9458,31.0,3,3,15,3,input
2019-01-25,14448,44.0,0,0,16,3,input
2019-01-26,16911,47.0,2,2,17,3,input
2019-01-27,14955,41.0,3,3,18,3,input
2019-01-28,10082,29.0,1,1,19,3,input
2019-01-29,8624,30.0,0,0,20,3,input
2019-01-30,8541,32.0,0,0,21,3,input
2019-02-09,12113,39.0,2,2,31,5,Y_1m
2019-03-11,9962,47.0,0,0,61,9,Y_2m
2019-04-10,6878,50.0,3,3,91,13,Y_3m
2019-05-10,5316,30.0,1,1,121,18,Y_4m
2019-06-09,4627,32.0,0,0,151,22,Y_5m
