date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2022-10-02,83355,100.0,8,8,1,1,input
2022-10-03,49522,57.0,7,7,2,1,input
2022-10-04,30383,39.0,2,2,3,1,input
2022-10-05,20958,28.0,2,2,4,1,input
2022-10-06,19509,27.0,1,1,5,1,input
2022-10-07,18694,22.0,6,6,6,1,input
2022-10-08,18857,27.0,0,0,7,1,input
2022-10-09,55040,59.0,8,8,8,2,input
2022-10-10,32740,38.0,7,7,9,2,input
2022-10-11,19666,22.0,2,2,10,2,input
2022-10-12,13348,16.0,0,0,11,2,input
2022-10-13,12832,15.0,1,1,12,2,input
2022-10-14,12357,14.0,2,2,13,2,input
2022-10-15,13980,17.0,1,1,14,2,input
2022-10-16,34706,47.0,6,6,15,3,input
2022-10-17,22004,29.0,4,4,16,3,input
2022-10-18,16097,21.0,3,3,17,3,input
2022-10-19,11517,15.0,2,2,18,3,input
2022-10-20,9990,14.0,0,0,19,3,input
2022-10-21,10687,14.0,4,4,20,3,input
2022-10-22,12339,16.0,1,1,21,3,input
2022-10-23,28063,38.0,6,6,22,4,input
2022-10-24,16311,19.0,2,2,23,4,input
2022-10-25,10394,13.0,2,2,24,4,input
2022-10-26,8006,10.0,0,0,25,4,input
2022-10-27,8049,10.0,1,1,26,4,input
2022-10-28,7788,9.0,1,1,27,4,input
2022-10-29,9419,12.0,1,1,28,4,input
2022-11-01,12278,14.0,6,6,31,5,Y_1m
2022-12-31,7280,9.0,4,4,91,13,Y_3m
