date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2020-10-03,204,100.0,0,0,1,1,input
2020-10-04,188,49.0,0,0,2,1,input
2020-10-05,125,0.0,0,0,3,1,input
2020-10-06,105,24.0,0,0,4,1,input
2020-10-07,117,0.0,0,0,5,1,input
2020-10-08,86,20.0,0,0,6,1,input
2020-10-09,154,33.0,0,0,7,1,input
2020-10-10,320,66.0,0,0,8,2,input
2020-10-11,193,26.0,0,0,9,2,input
2020-10-12,152,27.0,0,0,10,2,input
2020-10-13,140,0.0,0,0,11,2,input
2020-10-14,105,0.0,0,0,12,2,input
2020-10-15,101,0.0,0,0,13,2,input
2020-10-16,137,22.0,0,0,14,2,input
2020-10-17,323,42.0,0,0,15,3,input
2020-10-18,163,24.0,0,0,16,3,input
2020-10-19,202,0.0,0,0,17,3,input
2020-10-20,107,24.0,0,0,18,3,input
2020-10-21,106,0.0,0,0,19,3,input
2020-10-22,90,0.0,0,0,20,3,input
2020-10-23,142,0.0,0,0,21,3,input
2020-11-02,119,32.0,0,0,31,5,Y_1m
2021-01-01,90,0.0,0,0,91,13,Y_3m
