date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2020-04-04,,49.0,0,0,1,1,input
2020-04-05,,51.0,0,0,2,1,input
2020-04-06,,25.0,0,0,3,1,input
2020-04-07,,21.0,0,0,4,1,input
2020-04-08,,19.0,0,0,5,1,input
2020-04-09,1.0,0.0,0,0,6,1,input
2020-04-10,,20.0,0,0,7,1,input
2020-04-11,,28.0,0,0,8,2,input
2020-04-12,,32.0,0,0,9,2,input
2020-04-13,,24.0,0,0,10,2,input
2020-04-14,,15.0,0,0,11,2,input
2020-04-15,,0.0,0,0,12,2,input
2020-04-16,,18.0,0,0,13,2,input
2020-04-17,,0.0,0,0,14,2,input
2020-04-18,,20.0,0,0,15,3,input
2020-04-19,,100.0,0,0,16,3,input
2020-04-20,,56.0,0,0,17,3,input
2020-04-21,,52.0,0,0,18,3,input
2020-04-22,,42.0,0,0,19,3,input
2020-04-23,,25.0,0,0,20,3,input
2020-04-24,,38.0,0,0,21,3,input
2020-05-04,,26.0,0,0,31,5,Y_1m
2020-07-03,,0.0,0,0,91,13,Y_3m
