date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2022-07-06,12460,66.0,3,3,1,1,input
2022-07-07,24737,86.0,5,5,2,1,input
2022-07-08,15273,44.0,1,1,3,1,input
2022-07-09,14143,61.0,0,0,4,1,input
2022-07-10,11427,43.0,0,0,5,1,input
2022-07-11,8611,20.0,1,1,6,1,input
2022-07-12,7201,27.0,1,1,7,1,input
2022-07-13,13197,46.0,1,1,8,2,input
2022-07-14,20077,39.0,3,3,9,2,input
2022-07-15,16445,42.0,0,0,10,2,input
2022-07-16,14420,32.0,1,1,11,2,input
2022-07-17,12343,41.0,3,3,12,2,input
2022-07-18,11728,39.0,0,0,13,2,input
2022-07-19,8581,24.0,3,3,14,2,input
2022-07-20,12295,39.0,4,4,15,3,input
2022-07-21,15238,42.0,1,1,16,3,input
2022-07-22,11828,32.0,3,3,17,3,input
2022-07-23,11284,34.0,2,2,18,3,input
2022-07-24,9673,31.0,2,2,19,3,input
2022-07-25,6741,20.0,0,0,20,3,input
2022-07-26,6457,26.0,1,1,21,3,input
2022-08-05,6655,41.0,0,0,31,5,Y_1m
2022-09-04,8155,32.0,0,0,61,9,Y_2m
2022-10-04,2438,45.0,0,0,91,13,Y_3m
