date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2023-07-06,36650,100.0,0,0,1,1,input
2023-07-07,41622,88.0,0,0,2,1,input
2023-07-08,34130,73.0,0,0,3,1,input
2023-07-09,29653,71.0,0,0,4,1,input
2023-07-10,18620,47.0,0,0,5,1,input
2023-07-11,14533,42.0,1,1,6,1,input
2023-07-12,13163,45.0,0,0,7,1,input
2023-07-13,18242,51.0,0,0,8,2,input
2023-07-14,24222,52.0,0,0,9,2,input
2023-07-15,20826,50.0,1,1,10,2,input
2023-07-16,22144,49.0,0,0,11,2,input
2023-07-17,20972,49.0,0,0,12,2,input
2023-07-18,14543,42.0,0,0,13,2,input
2023-07-19,13196,43.0,0,0,14,2,input
2023-07-20,22239,55.0,1,1,15,3,input
2023-07-21,32237,69.0,0,0,16,3,input
2023-07-22,27243,60.0,0,0,17,3,input
2023-07-23,21416,54.0,0,0,18,3,input
2023-07-24,15705,48.0,0,0,19,3,input
2023-07-25,13297,44.0,0,0,20,3,input
2023-07-26,11973,55.0,0,0,21,3,input
2023-08-05,26201,61.0,0,0,31,5,Y_1m
2023-10-04,12036,89.0,0,0,91,13,Y_3m
