date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2022-04-09,9190,93.0,4,4,1,1,input
2022-04-10,6733,63.0,0,0,2,1,input
2022-04-11,6179,51.0,2,2,3,1,input
2022-04-12,5323,37.0,1,1,4,1,input
2022-04-13,4534,34.0,0,0,5,1,input
2022-04-14,4228,32.0,0,0,6,1,input
2022-04-15,6955,42.0,2,2,7,1,input
2022-04-16,8997,62.0,0,0,8,2,input
2022-04-17,7408,47.0,0,0,9,2,input
2022-04-18,7134,43.0,1,1,10,2,input
2022-04-19,6183,35.0,0,0,11,2,input
2022-04-20,5346,37.0,1,1,12,2,input
2022-04-21,4792,36.0,0,0,13,2,input
2022-04-22,6216,36.0,1,1,14,2,input
2022-04-23,8871,46.0,0,0,15,3,input
2022-04-24,7597,41.0,0,0,16,3,input
2022-04-25,6120,36.0,1,1,17,3,input
2022-04-26,5366,31.0,0,0,18,3,input
2022-04-27,5085,31.0,0,0,19,3,input
2022-04-28,4724,36.0,1,1,20,3,input
2022-04-29,7463,43.0,2,2,21,3,input
2022-04-30,7820,50.0,0,0,22,4,input
2022-05-01,6570,38.0,1,1,23,4,input
2022-05-02,6559,38.0,0,0,24,4,input
2022-05-03,6259,44.0,0,0,25,4,input
2022-05-04,5798,38.0,0,0,26,4,input
2022-05-05,6351,37.0,0,0,27,4,input
2022-05-06,7250,41.0,1,1,28,4,input
2022-05-09,7326,41.0,1,1,31,5,Y_1m
2022-07-08,3332,24.0,1,1,91,13,Y_3m
