date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2020-04-05,10105,61.0,0,0,1,1,input
2020-04-06,4778,37.0,1,1,2,1,input
2020-04-07,4390,37.0,0,0,3,1,input
2020-04-08,6832,19.0,1,1,4,1,input
2020-04-09,13986,41.0,5,5,5,1,input
2020-04-10,16354,33.0,0,0,6,1,input
2020-04-11,11810,45.0,1,1,7,1,input
2020-04-12,11012,32.0,0,0,8,2,input
2020-04-13,5935,38.0,0,0,9,2,input
2020-04-14,5681,50.0,0,0,10,2,input
2020-04-15,7939,31.0,0,0,11,2,input
2020-04-16,12532,39.0,3,3,12,2,input
2020-04-17,13793,57.0,2,2,13,2,input
2020-04-18,11159,25.0,4,4,14,2,input
2020-04-19,9256,67.0,3,3,15,3,input
2020-04-20,5264,30.0,0,0,16,3,input
2020-04-21,5085,35.0,1,1,17,3,input
2020-04-22,6289,37.0,3,3,18,3,input
2020-04-23,9394,46.0,1,1,19,3,input
2020-04-24,9946,57.0,0,0,20,3,input
2020-04-25,7713,33.0,1,1,21,3,input
2020-05-05,5535,21.0,0,0,31,5,Y_1m
2020-06-04,7653,30.0,3,3,61,9,Y_2m
2020-07-04,4159,40.0,0,0,91,13,Y_3m
2020-08-03,1351,0.0,0,0,121,18,Y_4m
2020-09-02,777,0.0,0,0,151,22,Y_5m
