date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2024-05-12,213,100.0,0,0,1,1,input
2024-05-13,460,60.0,0,0,2,1,input
2024-05-14,189,26.0,0,0,3,1,input
2024-05-15,154,17.0,0,0,4,1,input
2024-05-16,111,15.0,0,0,5,1,input
2024-05-17,70,12.0,0,0,6,1,input
2024-05-18,191,22.0,0,0,7,1,input
2024-05-19,234,51.0,0,0,8,2,input
2024-05-20,190,21.0,0,0,9,2,input
2024-05-21,110,10.0,0,0,10,2,input
2024-05-22,87,7.0,0,0,11,2,input
2024-05-23,76,5.0,0,0,12,2,input
2024-05-24,60,6.0,0,0,13,2,input
2024-05-25,105,9.0,0,0,14,2,input
2024-05-26,210,23.0,0,0,15,3,input
2024-05-27,314,14.0,0,0,16,3,input
2024-05-28,263,7.0,0,0,17,3,input
2024-05-29,162,5.0,0,0,18,3,input
2024-05-30,110,4.0,0,0,19,3,input
2024-05-31,419,5.0,0,0,20,3,input
2024-06-01,285,7.0,0,0,21,3,input
2024-06-11,203,4.0,0,0,31,5,Y_1m
2024-08-10,119,2.0,0,0,91,13,Y_3m
