date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2019-04-06,28753,21.0,3,3,1,1,input
2019-04-07,36368,22.0,2,2,2,1,input
2019-04-08,21785,17.0,4,4,3,1,input
2019-04-09,21410,13.0,1,1,4,1,input
2019-04-10,18029,12.0,0,0,5,1,input
2019-04-11,14995,11.0,1,1,6,1,input
2019-04-12,13359,11.0,1,1,7,1,input
2019-04-13,24897,22.0,3,3,8,2,input
2019-04-14,26320,26.0,1,1,9,2,input
2019-04-15,15188,16.0,0,0,10,2,input
2019-04-16,14252,13.0,3,3,11,2,input
2019-04-17,11592,11.0,0,0,12,2,input
2019-04-18,10501,11.0,4,4,13,2,input
2019-04-19,10266,11.0,1,1,14,2,input
2019-04-20,22337,19.0,3,3,15,3,input
2019-04-21,25385,23.0,3,3,16,3,input
2019-04-22,15515,15.0,1,1,17,3,input
2019-04-23,15791,16.0,2,2,18,3,input
2019-04-24,11944,13.0,0,0,19,3,input
2019-04-25,9898,11.0,0,0,20,3,input
2019-04-26,8493,11.0,0,0,21,3,input
2019-05-06,22326,24.0,5,5,31,5,Y_1m
2019-06-05,11231,11.0,1,1,61,9,Y_2m
2019-07-05,13744,29.0,2,2,91,13,Y_3m
2019-08-04,26378,50.0,1,1,121,18,Y_4m
2019-09-03,41768,58.0,2,2,151,22,Y_5m
