date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2021-12-05,279,100.0,0,0,1,1,input
2021-12-06,1817,58.0,0,0,2,1,input
2021-12-07,766,23.0,0,0,3,1,input
2021-12-08,306,15.0,0,0,4,1,input
2021-12-09,256,11.0,0,0,5,1,input
2021-12-10,235,12.0,0,0,6,1,input
2021-12-11,242,16.0,0,0,7,1,input
2021-12-12,563,33.0,0,0,8,2,input
2021-12-13,750,22.0,0,0,9,2,input
2021-12-14,296,12.0,0,0,10,2,input
2021-12-15,209,10.0,0,0,11,2,input
2021-12-16,187,7.0,0,0,12,2,input
2021-12-17,130,7.0,0,0,13,2,input
2021-12-18,548,12.0,0,0,14,2,input
2021-12-19,587,24.0,0,0,15,3,input
2021-12-20,802,22.0,0,0,16,3,input
2021-12-21,426,13.0,0,0,17,3,input
2021-12-22,274,8.0,0,0,18,3,input
2021-12-23,236,7.0,0,0,19,3,input
2021-12-24,192,7.0,0,0,20,3,input
2021-12-25,230,9.0,0,0,21,3,input
2022-01-04,527,10.0,0,0,31,5,Y_1m
2022-03-05,227,3.0,0,0,91,13,Y_3m
