date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2021-10-07,13194,100.0,5,5,1,1,input
2021-10-08,9584,55.0,0,0,2,1,input
2021-10-09,7183,70.0,2,2,3,1,input
2021-10-10,5603,96.0,0,0,4,1,input
2021-10-11,8735,49.0,3,3,5,1,input
2021-10-12,5791,0.0,2,2,6,1,input
2021-10-13,7982,40.0,5,5,7,1,input
2021-10-14,9755,49.0,6,6,8,2,input
2021-10-15,7081,0.0,0,0,9,2,input
2021-10-16,6007,52.0,0,0,10,2,input
2021-10-17,5557,59.0,1,1,11,2,input
2021-10-18,7512,47.0,2,2,12,2,input
2021-10-19,6033,0.0,0,0,13,2,input
2021-10-20,6898,38.0,3,3,14,2,input
2021-10-21,7448,57.0,1,1,15,3,input
2021-10-22,7036,0.0,2,2,16,3,input
2021-10-23,6249,0.0,4,4,17,3,input
2021-10-24,5375,45.0,3,3,18,3,input
2021-10-25,4727,56.0,1,1,19,3,input
2021-10-26,4046,0.0,1,1,20,3,input
2021-10-27,6418,43.0,4,4,21,3,input
2021-11-06,5866,0.0,0,0,31,5,Y_1m
2022-01-05,2320,0.0,0,0,91,13,Y_3m
