date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2017-01-12,137,98.0,0,0,1,1,input
2017-01-13,60,45.0,0,0,2,1,input
2017-01-14,44,42.0,0,0,3,1,input
2017-01-15,50,46.0,0,0,4,1,input
2017-01-16,54,37.0,0,0,5,1,input
2017-01-17,57,37.0,0,0,6,1,input
2017-01-18,58,71.0,0,0,7,1,input
2017-01-19,99,84.0,0,0,8,2,input
2017-01-20,62,57.0,0,0,9,2,input
2017-01-21,50,40.0,0,0,10,2,input
2017-01-22,47,40.0,0,0,11,2,input
2017-01-23,41,29.0,0,0,12,2,input
2017-01-24,53,25.0,0,0,13,2,input
2017-01-25,185,74.0,0,0,14,2,input
2017-01-26,280,66.0,0,0,15,3,input
2017-01-27,205,35.0,0,0,16,3,input
2017-01-28,230,44.0,0,0,17,3,input
2017-01-29,231,34.0,0,0,18,3,input
2017-01-30,175,34.0,0,0,19,3,input
2017-01-31,169,31.0,0,0,20,3,input
2017-02-01,209,57.0,0,0,21,3,input
2017-02-11,225,27.0,0,0,31,5,Y_1m
2017-03-13,194,29.0,0,0,61,9,Y_2m
2017-04-12,122,0.0,0,0,91,13,Y_3m
