date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2022-07-02,17592,29.0,6,6,1,1,input
2022-07-03,21220,32.0,2,2,2,1,input
2022-07-04,12187,21.0,0,0,3,1,input
2022-07-05,14498,23.0,2,2,4,1,input
2022-07-06,12192,22.0,3,3,5,1,input
2022-07-07,10435,17.0,1,1,6,1,input
2022-07-08,8465,17.0,1,1,7,1,input
2022-07-09,16335,29.0,5,5,8,2,input
2022-07-10,22772,35.0,0,0,9,2,input
2022-07-11,15265,28.0,2,2,10,2,input
2022-07-12,18102,32.0,1,1,11,2,input
2022-07-13,14804,27.0,1,1,12,2,input
2022-07-14,12619,23.0,0,0,13,2,input
2022-07-15,11858,23.0,0,0,14,2,input
2022-07-16,20371,36.0,3,3,15,3,input
2022-07-17,24914,42.0,4,4,16,3,input
2022-07-18,21903,41.0,1,1,17,3,input
2022-07-19,23788,42.0,0,0,18,3,input
2022-07-20,19612,38.0,3,3,19,3,input
2022-07-21,17099,33.0,1,1,20,3,input
2022-07-22,15616,35.0,3,3,21,3,input
2022-08-01,18129,41.0,1,1,31,5,Y_1m
2022-09-30,20222,44.0,5,5,91,13,Y_3m
