date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2023-04-07,7899,100.0,1,1,1,1,input
2023-04-08,6372,0.0,1,1,2,1,input
2023-04-09,5125,0.0,0,0,3,1,input
2023-04-10,3688,0.0,1,1,4,1,input
2023-04-11,3669,0.0,0,0,5,1,input
2023-04-12,3647,0.0,0,0,6,1,input
2023-04-13,5355,0.0,1,1,7,1,input
2023-04-14,6005,0.0,0,0,8,2,input
2023-04-15,6247,0.0,1,1,9,2,input
2023-04-16,5260,0.0,0,0,10,2,input
2023-04-17,3521,0.0,0,0,11,2,input
2023-04-18,2919,0.0,0,0,12,2,input
2023-04-19,2862,0.0,0,0,13,2,input
2023-04-20,4360,0.0,1,1,14,2,input
2023-04-21,5057,0.0,0,0,15,3,input
2023-04-22,5046,0.0,0,0,16,3,input
2023-04-23,4011,0.0,0,0,17,3,input
2023-04-24,2839,0.0,0,0,18,3,input
2023-04-25,2432,0.0,0,0,19,3,input
2023-04-26,2248,0.0,0,0,20,3,input
2023-04-27,3299,0.0,1,1,21,3,input
2023-04-28,3615,0.0,0,0,22,4,input
2023-04-29,3699,0.0,0,0,23,4,input
2023-04-30,3005,0.0,0,0,24,4,input
2023-05-01,2287,0.0,0,0,25,4,input
2023-05-02,2067,0.0,0,0,26,4,input
2023-05-03,2131,0.0,0,0,27,4,input
2023-05-04,3659,0.0,1,1,28,4,input
2023-05-07,3580,0.0,0,0,31,5,Y_1m
2023-07-06,1410,0.0,0,0,91,13,Y_3m
