date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2021-07-08,22528,100.0,4,4,1,1,input
2021-07-09,16603,81.0,1,1,2,1,input
2021-07-10,16441,70.0,2,2,3,1,input
2021-07-11,16742,73.0,1,1,4,1,input
2021-07-12,12030,60.0,1,1,5,1,input
2021-07-13,10447,61.0,2,2,6,1,input
2021-07-14,12272,56.0,3,3,7,1,input
2021-07-15,14516,65.0,1,1,8,2,input
2021-07-16,12589,70.0,0,0,9,2,input
2021-07-17,13494,73.0,1,1,10,2,input
2021-07-18,14516,70.0,0,0,11,2,input
2021-07-19,9386,53.0,0,0,12,2,input
2021-07-20,8206,49.0,0,0,13,2,input
2021-07-21,9389,56.0,1,1,14,2,input
2021-07-22,12083,74.0,0,0,15,3,input
2021-07-23,9409,54.0,0,0,16,3,input
2021-07-24,9916,59.0,0,0,17,3,input
2021-07-25,9721,57.0,0,0,18,3,input
2021-07-26,7121,50.0,0,0,19,3,input
2021-07-27,6322,47.0,0,0,20,3,input
2021-07-28,8148,50.0,2,2,21,3,input
2021-08-07,8493,54.0,0,0,31,5,Y_1m
2021-10-06,3872,34.0,0,0,91,13,Y_3m
