date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2021-10-03,8061,100.0,4,4,1,1,input
2021-10-04,12414,90.0,0,0,2,1,input
2021-10-05,7081,38.0,0,0,3,1,input
2021-10-06,4444,30.0,0,0,4,1,input
2021-10-07,2783,34.0,0,0,5,1,input
2021-10-08,2476,25.0,0,0,6,1,input
2021-10-09,2964,38.0,0,0,7,1,input
2021-10-10,6527,41.0,2,2,8,2,input
2021-10-11,9523,57.0,0,0,9,2,input
2021-10-12,6554,42.0,0,0,10,2,input
2021-10-13,4865,32.0,1,1,11,2,input
2021-10-14,3856,30.0,0,0,12,2,input
2021-10-15,3092,22.0,0,0,13,2,input
2021-10-16,3467,26.0,0,0,14,2,input
2021-10-17,6206,35.0,3,3,15,3,input
2021-10-18,7481,42.0,1,1,16,3,input
2021-10-19,4465,16.0,2,2,17,3,input
2021-10-20,3243,18.0,0,0,18,3,input
2021-10-21,2630,14.0,0,0,19,3,input
2021-10-22,2753,14.0,2,2,20,3,input
2021-10-23,2786,26.0,0,0,21,3,input
2021-10-24,6798,46.0,1,1,22,4,input
2021-10-25,10162,39.0,0,0,23,4,input
2021-10-26,6495,29.0,0,0,24,4,input
2021-10-27,4684,20.0,0,0,25,4,input
2021-10-28,3446,0.0,0,0,26,4,input
2021-10-29,2813,22.0,0,0,27,4,input
2021-10-30,3508,18.0,0,0,28,4,input
2021-11-02,4110,0.0,0,0,31,5,Y_1m
2022-01-01,2590,17.0,0,0,91,13,Y_3m
