date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2016-07-12,14526,15.0,3,3,1,1,input
2016-07-13,10066,14.0,2,2,2,1,input
2016-07-14,6933,0.0,0,0,3,1,input
2016-07-15,4665,12.0,0,0,4,1,input
2016-07-16,4560,14.0,0,0,5,1,input
2016-07-17,4157,12.0,3,3,6,1,input
2016-07-18,7617,9.0,2,2,7,1,input
2016-07-19,9765,0.0,2,2,8,2,input
2016-07-20,7949,18.0,2,2,9,2,input
2016-07-21,5940,0.0,2,2,10,2,input
2016-07-22,3696,0.0,0,0,11,2,input
2016-07-23,4214,0.0,2,2,12,2,input
2016-07-24,4198,0.0,1,1,13,2,input
2016-07-25,6272,10.0,2,2,14,2,input
2016-07-26,9108,0.0,2,2,15,3,input
2016-07-27,6699,0.0,1,1,16,3,input
2016-07-28,5945,9.0,0,0,17,3,input
2016-07-29,4808,0.0,0,0,18,3,input
2016-07-30,4875,0.0,0,0,19,3,input
2016-07-31,4697,0.0,0,0,20,3,input
2016-08-01,8128,0.0,3,3,21,3,input
2016-08-02,11165,0.0,2,2,22,4,input
2016-08-03,7966,0.0,1,1,23,4,input
2016-08-04,6915,0.0,0,0,24,4,input
2016-08-05,4848,0.0,0,0,25,4,input
2016-08-06,5187,0.0,1,1,26,4,input
2016-08-07,4938,0.0,0,0,27,4,input
2016-08-08,7341,0.0,1,1,28,4,input
2016-08-11,6473,0.0,0,0,31,5,Y_1m
2016-10-10,4660,16.0,0,0,91,13,Y_3m
