date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2022-10-05,5894,0.0,3,3,1,1,input
2022-10-06,6349,0.0,1,1,2,1,input
2022-10-07,4463,0.0,0,0,3,1,input
2022-10-08,3487,0.0,0,0,4,1,input
2022-10-09,3404,0.0,0,0,5,1,input
2022-10-10,3471,0.0,0,0,6,1,input
2022-10-11,2786,0.0,0,0,7,1,input
2022-10-12,4343,0.0,2,2,8,2,input
2022-10-13,4844,0.0,0,0,9,2,input
2022-10-14,3611,0.0,1,1,10,2,input
2022-10-15,3817,0.0,0,0,11,2,input
2022-10-16,3696,0.0,0,0,12,2,input
2022-10-17,2875,0.0,0,0,13,2,input
2022-10-18,2669,0.0,0,0,14,2,input
2022-10-19,3541,0.0,1,1,15,3,input
2022-10-20,4163,0.0,1,1,16,3,input
2022-10-21,3274,0.0,0,0,17,3,input
2022-10-22,3358,0.0,0,0,18,3,input
2022-10-23,3068,0.0,0,0,19,3,input
2022-10-24,2390,0.0,0,0,20,3,input
2022-10-25,2157,0.0,0,0,21,3,input
2022-11-04,2579,0.0,0,0,31,5,Y_1m
2023-01-03,2053,0.0,0,0,91,13,Y_3m
