date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2021-01-11,46125,94.0,2,2,1,1,input
2021-01-12,20546,51.0,1,1,2,1,input
2021-01-13,13309,36.0,2,2,3,1,input
2021-01-14,9498,28.0,0,0,4,1,input
2021-01-15,8033,25.0,3,3,5,1,input
2021-01-16,12509,37.0,1,1,6,1,input
2021-01-17,34243,73.0,1,1,7,1,input
2021-01-18,42527,87.0,3,3,8,2,input
2021-01-19,21532,59.0,1,1,9,2,input
2021-01-20,15520,41.0,1,1,10,2,input
2021-01-21,13348,34.0,4,4,11,2,input
2021-01-22,10078,29.0,0,0,12,2,input
2021-01-23,18856,51.0,1,1,13,2,input
2021-01-24,32664,72.0,1,1,14,2,input
2021-01-25,31373,66.0,0,0,15,3,input
2021-01-26,17484,44.0,0,0,16,3,input
2021-01-27,12730,36.0,2,2,17,3,input
2021-01-28,11162,31.0,0,0,18,3,input
2021-01-29,8560,28.0,0,0,19,3,input
2021-01-30,13670,40.0,0,0,20,3,input
2021-01-31,29675,67.0,1,1,21,3,input
2021-02-10,11901,38.0,4,4,31,5,Y_1m
2021-03-12,6656,25.0,1,1,61,9,Y_2m
2021-04-11,5909,28.0,0,0,91,13,Y_3m
2021-05-11,2119,10.0,0,0,121,18,Y_4m
2021-06-10,1367,8.0,0,0,151,22,Y_5m
