date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2021-03-27,7076,100.0,3,3,1,1,input
2021-03-28,4390,32.0,1,1,2,1,input
2021-03-29,2663,14.0,0,0,3,1,input
2021-03-30,2125,10.0,0,0,4,1,input
2021-03-31,1827,8.0,0,0,5,1,input
2021-04-01,1674,9.0,0,0,6,1,input
2021-04-02,1984,9.0,1,1,7,1,input
2021-04-03,4540,14.0,2,2,8,2,input
2021-04-04,3037,9.0,0,0,9,2,input
2021-04-05,2267,6.0,0,0,10,2,input
2021-04-06,1943,4.0,0,0,11,2,input
2021-04-07,1627,3.0,0,0,12,2,input
2021-04-08,1627,2.0,0,0,13,2,input
2021-04-09,1647,4.0,0,0,14,2,input
2021-04-10,3505,11.0,1,1,15,3,input
2021-04-11,2598,4.0,0,0,16,3,input
2021-04-12,1855,3.0,0,0,17,3,input
2021-04-13,1830,3.0,0,0,18,3,input
2021-04-14,1707,2.0,1,1,19,3,input
2021-04-15,1486,2.0,1,1,20,3,input
2021-04-16,1528,2.0,0,0,21,3,input
2021-04-26,1745,3.0,0,0,31,5,Y_1m
2021-06-25,1644,0.0,0,0,91,13,Y_3m
