date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2015-10-04,21666,88.0,7,7,1,1,input
2015-10-05,29937,84.0,4,4,2,1,input
2015-10-06,24756,74.0,0,0,3,1,input
2015-10-07,20430,60.0,1,1,4,1,input
2015-10-08,16079,48.0,0,0,5,1,input
2015-10-09,12791,41.0,3,3,6,1,input
2015-10-10,12871,51.0,3,3,7,1,input
2015-10-11,25220,66.0,7,7,8,2,input
2015-10-12,35686,93.0,6,6,9,2,input
2015-10-13,25107,61.0,4,4,10,2,input
2015-10-14,20717,44.0,1,1,11,2,input
2015-10-15,17054,40.0,1,1,12,2,input
2015-10-16,14245,35.0,5,5,13,2,input
2015-10-17,15086,43.0,3,3,14,2,input
2015-10-18,21179,59.0,2,2,15,3,input
2015-10-19,25002,53.0,3,3,16,3,input
2015-10-20,20514,40.0,2,2,17,3,input
2015-10-21,16646,40.0,0,0,18,3,input
2015-10-22,13212,33.0,0,0,19,3,input
2015-10-23,11922,33.0,1,1,20,3,input
2015-10-24,12514,38.0,1,1,21,3,input
2015-11-03,32321,61.0,1,1,31,5,Y_1m
2016-01-02,9575,24.0,0,0,91,13,Y_3m
