date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2019-04-09,13277,31.0,5,5,1,1,input
2019-04-10,16560,43.0,3,3,2,1,input
2019-04-11,11705,24.0,2,2,3,1,input
2019-04-12,9672,19.0,3,3,4,1,input
2019-04-13,10314,18.0,0,0,5,1,input
2019-04-14,9889,20.0,0,0,6,1,input
2019-04-15,6938,15.0,1,1,7,1,input
2019-04-16,11417,20.0,2,2,8,2,input
2019-04-17,17913,34.0,0,0,9,2,input
2019-04-18,13644,24.0,3,3,10,2,input
2019-04-19,11963,17.0,1,1,11,2,input
2019-04-20,12877,17.0,3,3,12,2,input
2019-04-21,12223,19.0,0,0,13,2,input
2019-04-22,8958,12.0,1,1,14,2,input
2019-04-23,12405,24.0,1,1,15,3,input
2019-04-24,17107,42.0,1,1,16,3,input
2019-04-25,13525,22.0,2,2,17,3,input
2019-04-26,10391,13.0,1,1,18,3,input
2019-04-27,11276,18.0,0,0,19,3,input
2019-04-28,10088,17.0,0,0,20,3,input
2019-04-29,10355,16.0,1,1,21,3,input
2019-05-09,13125,17.0,3,3,31,5,Y_1m
2019-07-08,7894,8.0,1,1,91,13,Y_3m
