date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2020-07-09,12402,89.0,2,2,1,1,input
2020-07-10,17478,100.0,2,2,2,1,input
2020-07-11,12847,69.0,0,0,3,1,input
2020-07-12,12365,59.0,0,0,4,1,input
2020-07-13,7762,41.0,0,0,5,1,input
2020-07-14,6703,32.0,1,1,6,1,input
2020-07-15,6689,45.0,0,0,7,1,input
2020-07-16,8518,54.0,2,2,8,2,input
2020-07-17,10252,50.0,0,0,9,2,input
2020-07-18,8315,40.0,0,0,10,2,input
2020-07-19,7772,40.0,0,0,11,2,input
2020-07-20,5202,30.0,0,0,12,2,input
2020-07-21,5198,23.0,0,0,13,2,input
2020-07-22,4745,26.0,0,0,14,2,input
2020-07-23,8428,44.0,2,2,15,3,input
2020-07-24,9808,40.0,0,0,16,3,input
2020-07-25,7787,43.0,0,0,17,3,input
2020-07-26,7408,39.0,0,0,18,3,input
2020-07-27,5194,30.0,0,0,19,3,input
2020-07-28,4684,30.0,0,0,20,3,input
2020-07-29,4296,27.0,0,0,21,3,input
2020-08-08,6128,45.0,0,0,31,5,Y_1m
2020-10-07,4166,19.0,0,0,91,13,Y_3m
