date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2020-07-08,25144,,2,2,1,1,input
2020-07-09,27587,,0,0,2,1,input
2020-07-10,18082,,0,0,3,1,input
2020-07-11,16950,,1,1,4,1,input
2020-07-12,14825,83.0,0,0,5,1,input
2020-07-13,12501,,0,0,6,1,input
2020-07-14,14302,,0,0,7,1,input
2020-07-15,21965,,1,1,8,2,input
2020-07-16,24305,,1,1,9,2,input
2020-07-17,16615,,0,0,10,2,input
2020-07-18,16858,,2,2,11,2,input
2020-07-19,14844,76.0,0,0,12,2,input
2020-07-20,11500,,1,1,13,2,input
2020-07-21,11966,,1,1,14,2,input
2020-07-22,16933,,1,1,15,3,input
2020-07-23,22075,,1,1,16,3,input
2020-07-24,17132,,0,0,17,3,input
2020-07-25,14922,,2,2,18,3,input
2020-07-26,13808,69.0,0,0,19,3,input
2020-07-27,11092,,0,0,20,3,input
2020-07-28,10986,,0,0,21,3,input
2020-08-07,11417,76.0,0,0,31,5,Y_1m
2020-10-06,11805,81.0,1,1,91,13,Y_3m
