date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2022-01-10,16599,100.0,0,0,1,1,input
2022-01-11,10466,62.0,1,1,2,1,input
2022-01-12,8124,51.0,1,1,3,1,input
2022-01-13,7488,46.0,0,0,4,1,input
2022-01-14,7309,50.0,0,0,5,1,input
2022-01-15,8126,57.0,0,0,6,1,input
2022-01-16,11347,76.0,0,0,7,1,input
2022-01-17,10190,63.0,1,1,8,2,input
2022-01-18,8063,48.0,0,0,9,2,input
2022-01-19,7036,44.0,0,0,10,2,input
2022-01-20,6133,42.0,0,0,11,2,input
2022-01-21,6066,43.0,0,0,12,2,input
2022-01-22,6727,55.0,0,0,13,2,input
2022-01-23,10677,75.0,0,0,14,2,input
2022-01-24,10116,69.0,0,0,15,3,input
2022-01-25,8341,53.0,0,0,16,3,input
2022-01-26,7035,46.0,0,0,17,3,input
2022-01-27,6803,46.0,0,0,18,3,input
2022-01-28,6324,49.0,0,0,19,3,input
2022-01-29,7108,55.0,0,0,20,3,input
2022-01-30,10075,70.0,0,0,21,3,input
2022-02-09,7065,56.0,0,0,31,5,Y_1m
2022-03-11,4187,43.0,0,0,61,9,Y_2m
2022-04-10,5244,48.0,0,0,91,13,Y_3m
2022-05-10,2499,19.0,0,0,121,18,Y_4m
2022-06-09,2295,17.0,0,0,151,22,Y_5m
