date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2018-01-02,9302,75.0,5,5,1,1,input
2018-01-03,9528,65.0,0,0,2,1,input
2018-01-04,8230,59.0,0,0,3,1,input
2018-01-05,5476,28.0,2,2,4,1,input
2018-01-06,4602,31.0,1,1,5,1,input
2018-01-07,4069,30.0,0,0,6,1,input
2018-01-08,4209,30.0,1,1,7,1,input
2018-01-09,10186,64.0,3,3,8,2,input
2018-01-10,10181,54.0,1,1,9,2,input
2018-01-11,6161,29.0,1,1,10,2,input
2018-01-12,4271,28.0,1,1,11,2,input
2018-01-13,4584,27.0,1,1,12,2,input
2018-01-14,4420,23.0,0,0,13,2,input
2018-01-15,3236,19.0,0,0,14,2,input
2018-01-16,8033,46.0,4,4,15,3,input
2018-01-17,9595,55.0,2,2,16,3,input
2018-01-18,5761,31.0,1,1,17,3,input
2018-01-19,3938,22.0,2,2,18,3,input
2018-01-20,4177,30.0,0,0,19,3,input
2018-01-21,4682,28.0,0,0,20,3,input
2018-01-22,3298,22.0,1,1,21,3,input
2018-02-01,3426,26.0,0,0,31,5,Y_1m
2018-03-03,4285,24.0,0,0,61,9,Y_2m
2018-04-02,4852,39.0,0,0,91,13,Y_3m
2018-05-02,1969,12.0,0,0,121,18,Y_4m
2018-06-01,1427,10.0,1,1,151,22,Y_5m
