date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2022-04-09,38620,100.0,4,4,1,1,input
2022-04-10,51559,85.0,3,3,2,1,input
2022-04-11,32235,52.0,0,0,3,1,input
2022-04-12,25248,42.0,0,0,4,1,input
2022-04-13,20271,37.0,0,0,5,1,input
2022-04-14,18107,39.0,0,0,6,1,input
2022-04-15,16727,35.0,0,0,7,1,input
2022-04-16,48272,85.0,1,1,8,2,input
2022-04-17,70374,93.0,4,4,9,2,input
2022-04-18,42482,54.0,1,1,10,2,input
2022-04-19,31041,51.0,1,1,11,2,input
2022-04-20,27793,37.0,0,0,12,2,input
2022-04-21,25279,37.0,0,0,13,2,input
2022-04-22,23626,43.0,0,0,14,2,input
2022-04-23,45258,64.0,1,1,15,3,input
2022-04-24,52870,64.0,2,2,16,3,input
2022-04-25,31073,41.0,0,0,17,3,input
2022-04-26,25320,30.0,0,0,18,3,input
2022-04-27,20886,26.0,0,0,19,3,input
2022-04-28,18894,25.0,1,1,20,3,input
2022-04-29,24370,33.0,0,0,21,3,input
2022-05-09,30694,31.0,1,1,31,5,Y_1m
2022-06-08,18802,19.0,0,0,61,9,Y_2m
2022-07-08,12181,12.0,0,0,91,13,Y_3m
2022-08-07,13156,16.0,0,0,121,18,Y_4m
2022-09-06,5203,10.0,0,0,151,22,Y_5m
