date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2022-10-01,1.0,,0,0,1,1,input
2022-10-02,,,0,0,2,1,input
2022-10-03,,,0,0,3,1,input
2022-10-04,,,0,0,4,1,input
2022-10-05,,,0,0,5,1,input
2022-10-06,,,0,0,6,1,input
2022-10-07,,,0,0,7,1,input
2022-10-08,,,0,0,8,2,input
2022-10-09,,,0,0,9,2,input
2022-10-10,,,0,0,10,2,input
2022-10-11,,,0,0,11,2,input
2022-10-12,1.0,,0,0,12,2,input
2022-10-13,,,0,0,13,2,input
2022-10-14,1.0,,0,0,14,2,input
2022-10-15,,,0,0,15,3,input
2022-10-16,,,0,0,16,3,input
2022-10-17,,,0,0,17,3,input
2022-10-18,,,0,0,18,3,input
2022-10-19,,,0,0,19,3,input
2022-10-20,,,0,0,20,3,input
2022-10-21,,,0,0,21,3,input
2022-10-31,,,0,0,31,5,Y_1m
2022-11-30,,,0,0,61,9,Y_2m
2022-12-30,1.0,,0,0,91,13,Y_3m
