date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2020-10-04,29226,100.0,3,3,1,1,input
2020-10-05,23878,80.0,1,1,2,1,input
2020-10-06,14360,62.0,0,0,3,1,input
2020-10-07,13439,45.0,0,0,4,1,input
2020-10-08,10014,41.0,0,0,5,1,input
2020-10-09,9525,37.0,0,0,6,1,input
2020-10-10,12883,46.0,0,0,7,1,input
2020-10-11,23082,76.0,2,2,8,2,input
2020-10-12,18382,74.0,0,0,9,2,input
2020-10-13,13393,49.0,0,0,10,2,input
2020-10-14,9974,43.0,0,0,11,2,input
2020-10-15,7262,34.0,0,0,12,2,input
2020-10-16,6321,29.0,0,0,13,2,input
2020-10-17,8585,45.0,0,0,14,2,input
2020-10-18,15410,56.0,1,1,15,3,input
2020-10-19,11384,47.0,0,0,16,3,input
2020-10-20,7666,31.0,0,0,17,3,input
2020-10-21,6760,32.0,0,0,18,3,input
2020-10-22,5701,27.0,0,0,19,3,input
2020-10-23,5557,21.0,0,0,20,3,input
2020-10-24,6479,28.0,0,0,21,3,input
2020-11-03,7349,32.0,0,0,31,5,Y_1m
2020-12-03,3500,19.0,0,0,61,9,Y_2m
2021-01-02,7508,47.0,0,0,91,13,Y_3m
2021-02-01,2054,7.0,0,0,121,18,Y_4m
2021-03-03,973,7.0,0,0,151,22,Y_5m
