date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2018-10-02,32196,79.0,3,3,1,1,input
2018-10-03,24545,60.0,4,4,2,1,input
2018-10-04,17669,44.0,0,0,3,1,input
2018-10-05,12402,37.0,0,0,4,1,input
2018-10-06,13430,38.0,3,3,5,1,input
2018-10-07,12882,37.0,1,1,6,1,input
2018-10-08,22260,57.0,1,1,7,1,input
2018-10-09,24868,59.0,2,2,8,2,input
2018-10-10,21397,51.0,2,2,9,2,input
2018-10-11,16816,45.0,4,4,10,2,input
2018-10-12,12860,38.0,5,5,11,2,input
2018-10-13,13229,43.0,4,4,12,2,input
2018-10-14,13505,44.0,2,2,13,2,input
2018-10-15,16812,51.0,1,1,14,2,input
2018-10-16,20785,57.0,0,0,15,3,input
2018-10-17,17679,49.0,3,3,16,3,input
2018-10-18,13549,38.0,0,0,17,3,input
2018-10-19,10859,30.0,1,1,18,3,input
2018-10-20,11368,36.0,0,0,19,3,input
2018-10-21,13123,39.0,2,2,20,3,input
2018-10-22,15959,47.0,4,4,21,3,input
2018-11-01,16121,54.0,1,1,31,5,Y_1m
2018-12-01,13106,39.0,0,0,61,9,Y_2m
2018-12-31,12198,42.0,0,0,91,13,Y_3m
2019-01-30,26261,54.0,1,1,121,18,Y_4m
2019-03-01,10460,33.0,1,1,151,22,Y_5m
