date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2021-01-12,16298,43.0,2,2,1,1,input
2021-01-13,18573,42.0,1,1,2,1,input
2021-01-14,12653,33.0,1,1,3,1,input
2021-01-15,10748,32.0,0,0,4,1,input
2021-01-16,12781,37.0,1,1,5,1,input
2021-01-17,12969,33.0,2,2,6,1,input
2021-01-18,9789,27.0,0,0,7,1,input
2021-01-19,13686,33.0,1,1,8,2,input
2021-01-20,16984,38.0,0,0,9,2,input
2021-01-21,12220,30.0,0,0,10,2,input
2021-01-22,11238,26.0,0,0,11,2,input
2021-01-23,13272,34.0,1,1,12,2,input
2021-01-24,12836,34.0,2,2,13,2,input
2021-01-25,10486,28.0,0,0,14,2,input
2021-01-26,15070,36.0,1,1,15,3,input
2021-01-27,17837,39.0,0,0,16,3,input
2021-01-28,13376,27.0,0,0,17,3,input
2021-01-29,10818,28.0,0,0,18,3,input
2021-01-30,13013,34.0,0,0,19,3,input
2021-01-31,12735,30.0,2,2,20,3,input
2021-02-01,9458,22.0,0,0,21,3,input
2021-02-11,21897,38.0,1,1,31,5,Y_1m
2021-03-13,12636,33.0,0,0,61,9,Y_2m
2021-04-12,11709,29.0,0,0,91,13,Y_3m
2021-05-12,8381,24.0,0,0,121,18,Y_4m
2021-06-11,5672,18.0,0,0,151,22,Y_5m
