date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2021-04-11,26923,23.0,4,4,1,1,input
2021-04-12,20754,16.0,1,1,2,1,input
2021-04-13,14303,13.0,1,1,3,1,input
2021-04-14,11731,12.0,0,0,4,1,input
2021-04-15,12429,13.0,1,1,5,1,input
2021-04-16,14117,15.0,2,2,6,1,input
2021-04-17,19690,21.0,4,4,7,1,input
2021-04-18,30038,27.0,2,2,8,2,input
2021-04-19,24192,22.0,2,2,9,2,input
2021-04-20,21313,22.0,2,2,10,2,input
2021-04-21,20715,24.0,2,2,11,2,input
2021-04-22,18121,20.0,1,1,12,2,input
2021-04-23,14704,18.0,1,1,13,2,input
2021-04-24,20337,23.0,2,2,14,2,input
2021-04-25,34501,34.0,0,0,15,3,input
2021-04-26,26799,26.0,1,1,16,3,input
2021-04-27,21451,23.0,0,0,17,3,input
2021-04-28,19064,23.0,3,3,18,3,input
2021-04-29,21729,27.0,1,1,19,3,input
2021-04-30,16419,21.0,0,0,20,3,input
2021-05-01,18879,26.0,3,3,21,3,input
2021-05-11,27142,37.0,1,1,31,5,Y_1m
2021-06-10,20943,36.0,0,0,61,9,Y_2m
2021-07-10,50117,100.0,2,2,91,13,Y_3m
2021-08-09,40086,73.0,0,0,121,18,Y_4m
2021-09-08,25027,54.0,0,0,151,22,Y_5m
