date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2023-01-05,9171,84.0,1,1,1,1,input
2023-01-06,4175,74.0,1,1,2,1,input
2023-01-07,5348,57.0,1,1,3,1,input
2023-01-08,4042,0.0,0,0,4,1,input
2023-01-09,3578,55.0,0,0,5,1,input
2023-01-10,2676,0.0,1,1,6,1,input
2023-01-11,4890,66.0,1,1,7,1,input
2023-01-12,7291,64.0,1,1,8,2,input
2023-01-13,3794,0.0,0,0,9,2,input
2023-01-14,5169,0.0,1,1,10,2,input
2023-01-15,5091,0.0,2,2,11,2,input
2023-01-16,3586,0.0,0,0,12,2,input
2023-01-17,3099,0.0,0,0,13,2,input
2023-01-18,4153,0.0,3,3,14,2,input
2023-01-19,4572,0.0,2,2,15,3,input
2023-01-20,2972,0.0,1,1,16,3,input
2023-01-21,3917,0.0,0,0,17,3,input
2023-01-22,3258,45.0,0,0,18,3,input
2023-01-23,2397,0.0,0,0,19,3,input
2023-01-24,2064,0.0,1,1,20,3,input
2023-01-25,3311,0.0,2,2,21,3,input
2023-02-04,2652,0.0,1,1,31,5,Y_1m
2023-03-06,1649,0.0,0,0,61,9,Y_2m
2023-04-05,1780,0.0,0,0,91,13,Y_3m
