date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2020-04-02,,,0,0,1,1,input
2020-04-03,,,0,0,2,1,input
2020-04-04,,,0,0,3,1,input
2020-04-05,,,0,0,4,1,input
2020-04-06,,,0,0,5,1,input
2020-04-07,,,0,0,6,1,input
2020-04-08,,,0,0,7,1,input
2020-04-09,691.0,,2,2,8,2,input
2020-04-10,199.0,,0,0,9,2,input
2020-04-11,181.0,,0,0,10,2,input
2020-04-12,147.0,,0,0,11,2,input
2020-04-13,151.0,,0,0,12,2,input
2020-04-14,141.0,,0,0,13,2,input
2020-04-15,184.0,,0,0,14,2,input
2020-04-16,159.0,,0,0,15,3,input
2020-04-17,128.0,,0,0,16,3,input
2020-04-18,139.0,,0,0,17,3,input
2020-04-19,117.0,,0,0,18,3,input
2020-04-20,115.0,,0,0,19,3,input
2020-04-21,119.0,,0,0,20,3,input
2020-04-22,196.0,,0,0,21,3,input
2020-05-02,152.0,,0,0,31,5,Y_1m
2020-07-01,130.0,,0,0,91,13,Y_3m
