date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2021-02-07,1883,1.0,0,0,1,1,input
2021-02-08,2832,2.0,1,1,2,1,input
2021-02-09,2866,2.0,2,2,3,1,input
2021-02-10,2454,2.0,1,1,4,1,input
2021-02-11,2351,2.0,2,2,5,1,input
2021-02-12,1833,2.0,1,1,6,1,input
2021-02-13,1836,1.0,0,0,7,1,input
2021-02-14,1722,1.0,0,0,8,2,input
2021-02-15,3068,2.0,2,2,9,2,input
2021-02-16,3250,3.0,2,2,10,2,input
2021-02-17,2596,2.0,0,0,11,2,input
2021-02-18,2135,2.0,0,0,12,2,input
2021-02-19,2048,2.0,1,1,13,2,input
2021-02-20,2275,2.0,1,1,14,2,input
2021-02-21,2551,2.0,3,3,15,3,input
2021-02-22,6682,7.0,2,2,16,3,input
2021-02-23,9289,10.0,1,1,17,3,input
2021-02-24,25388,63.0,5,5,18,3,input
2021-02-25,18306,47.0,1,1,19,3,input
2021-02-26,16048,41.0,0,0,20,3,input
2021-02-27,18511,56.0,2,2,21,3,input
2021-03-09,23382,84.0,2,2,31,5,Y_1m
2021-04-08,17184,67.0,2,2,61,9,Y_2m
2021-05-08,15995,71.0,6,6,91,13,Y_3m
2021-06-07,8375,47.0,8,8,121,18,Y_4m
2021-07-07,6145,29.0,0,0,151,22,Y_5m
