date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2023-10-07,11297,100.0,2,2,1,1,input
2023-10-08,7170,73.0,0,0,2,1,input
2023-10-09,5617,65.0,1,1,3,1,input
2023-10-10,3593,44.0,0,0,4,1,input
2023-10-11,2826,55.0,0,0,5,1,input
2023-10-12,2488,37.0,0,0,6,1,input
2023-10-13,5912,0.0,1,1,7,1,input
2023-10-14,10068,59.0,2,2,8,2,input
2023-10-15,6691,27.0,1,1,9,2,input
2023-10-16,4781,31.0,0,0,10,2,input
2023-10-17,3673,0.0,0,0,11,2,input
2023-10-18,3119,0.0,0,0,12,2,input
2023-10-19,2687,33.0,0,0,13,2,input
2023-10-20,4648,35.0,2,2,14,2,input
2023-10-21,7256,52.0,0,0,15,3,input
2023-10-22,4876,38.0,0,0,16,3,input
2023-10-23,3162,0.0,0,0,17,3,input
2023-10-24,2520,0.0,0,0,18,3,input
2023-10-25,2119,0.0,0,0,19,3,input
2023-10-26,2015,0.0,0,0,20,3,input
2023-10-27,4119,48.0,1,1,21,3,input
2023-11-06,3337,0.0,1,1,31,5,Y_1m
2023-12-06,1268,0.0,0,0,61,9,Y_2m
2024-01-05,3822,30.0,1,1,91,13,Y_3m
