date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2023-01-10,9353,100.0,1,1,1,1,input
2023-01-11,6344,0.0,0,0,2,1,input
2023-01-12,4675,0.0,0,0,3,1,input
2023-01-13,4588,0.0,0,0,4,1,input
2023-01-14,5058,0.0,0,0,5,1,input
2023-01-15,4895,0.0,0,0,6,1,input
2023-01-16,6967,0.0,1,1,7,1,input
2023-01-17,8448,0.0,0,0,8,2,input
2023-01-18,5340,0.0,0,0,9,2,input
2023-01-19,4326,0.0,0,0,10,2,input
2023-01-20,3978,0.0,0,0,11,2,input
2023-01-21,4585,0.0,0,0,12,2,input
2023-01-22,4651,0.0,0,0,13,2,input
2023-01-23,6597,0.0,1,1,14,2,input
2023-01-24,8023,0.0,0,0,15,3,input
2023-01-25,5524,0.0,0,0,16,3,input
2023-01-26,4381,0.0,0,0,17,3,input
2023-01-27,4371,0.0,0,0,18,3,input
2023-01-28,4685,0.0,0,0,19,3,input
2023-01-29,4574,0.0,0,0,20,3,input
2023-01-30,5087,0.0,1,1,21,3,input
2023-02-09,3263,0.0,0,0,31,5,Y_1m
2023-04-10,3214,0.0,1,1,91,13,Y_3m
