date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2018-01-11,38614,100.0,4,4,1,1,input
2018-01-12,19550,59.0,2,2,2,1,input
2018-01-13,16471,46.0,0,0,3,1,input
2018-01-14,14335,43.0,0,0,4,1,input
2018-01-15,9036,32.0,2,2,5,1,input
2018-01-16,7310,24.0,1,1,6,1,input
2018-01-17,14155,43.0,1,1,7,1,input
2018-01-18,18875,58.0,3,3,8,2,input
2018-01-19,13703,42.0,1,1,9,2,input
2018-01-20,17554,63.0,3,3,10,2,input
2018-01-21,12071,41.0,0,0,11,2,input
2018-01-22,6642,22.0,1,1,12,2,input
2018-01-23,5675,21.0,2,2,13,2,input
2018-01-24,9332,32.0,3,3,14,2,input
2018-01-25,13081,42.0,4,4,15,3,input
2018-01-26,8254,31.0,2,2,16,3,input
2018-01-27,8410,31.0,2,2,17,3,input
2018-01-28,8201,30.0,5,5,18,3,input
2018-01-29,5218,19.0,0,0,19,3,input
2018-01-30,4706,17.0,0,0,20,3,input
2018-01-31,7823,28.0,4,4,21,3,input
2018-02-10,6964,29.0,1,1,31,5,Y_1m
2018-03-12,4404,19.0,0,0,61,9,Y_2m
2018-04-11,5144,20.0,2,2,91,13,Y_3m
2018-05-11,2027,6.0,0,0,121,18,Y_4m
2018-06-10,2033,7.0,0,0,151,22,Y_5m
