date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2021-04-03,9709,100.0,6,6,1,1,input
2021-04-04,11216,55.0,3,3,2,1,input
2021-04-05,4531,22.0,2,2,3,1,input
2021-04-06,4833,22.0,1,1,4,1,input
2021-04-07,3675,17.0,2,2,5,1,input
2021-04-08,2628,11.0,0,0,6,1,input
2021-04-09,2315,10.0,1,1,7,1,input
2021-04-10,5413,33.0,2,2,8,2,input
2021-04-11,5932,24.0,5,5,9,2,input
2021-04-12,3347,15.0,2,2,10,2,input
2021-04-13,3444,15.0,0,0,11,2,input
2021-04-14,2667,9.0,2,2,12,2,input
2021-04-15,2347,11.0,1,1,13,2,input
2021-04-16,2110,7.0,0,0,14,2,input
2021-04-17,6173,20.0,5,5,15,3,input
2021-04-18,6764,24.0,1,1,16,3,input
2021-04-19,3630,9.0,0,0,17,3,input
2021-04-20,4107,8.0,0,0,18,3,input
2021-04-21,3331,8.0,1,1,19,3,input
2021-04-22,2541,11.0,0,0,20,3,input
2021-04-23,2278,0.0,1,1,21,3,input
2021-05-03,5163,9.0,3,3,31,5,Y_1m
2021-06-02,5263,11.0,2,2,61,9,Y_2m
2021-07-02,3773,11.0,0,0,91,13,Y_3m
2021-08-01,1405,0.0,0,0,121,18,Y_4m
2021-08-31,884,0.0,0,0,151,22,Y_5m
