date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2018-04-13,20283,100.0,1,1,1,1,input
2018-04-14,12952,86.0,0,0,2,1,input
2018-04-15,9494,51.0,0,0,3,1,input
2018-04-16,5437,42.0,0,0,4,1,input
2018-04-17,4292,33.0,0,0,5,1,input
2018-04-18,3458,29.0,0,0,6,1,input
2018-04-19,7088,55.0,1,1,7,1,input
2018-04-20,9762,74.0,0,0,8,2,input
2018-04-21,7581,57.0,0,0,9,2,input
2018-04-22,5969,45.0,0,0,10,2,input
2018-04-23,3971,31.0,0,0,11,2,input
2018-04-24,3255,22.0,0,0,12,2,input
2018-04-25,3105,26.0,0,0,13,2,input
2018-04-26,7024,42.0,1,1,14,2,input
2018-04-27,8599,59.0,0,0,15,3,input
2018-04-28,6276,50.0,0,0,16,3,input
2018-04-29,5077,35.0,0,0,17,3,input
2018-04-30,5106,39.0,0,0,18,3,input
2018-05-01,3715,27.0,1,1,19,3,input
2018-05-02,3668,24.0,0,0,20,3,input
2018-05-03,9198,57.0,1,1,21,3,input
2018-05-04,11946,85.0,0,0,22,4,input
2018-05-05,9356,62.0,0,0,23,4,input
2018-05-06,8156,46.0,0,0,24,4,input
2018-05-07,6082,37.0,0,0,25,4,input
2018-05-08,4500,23.0,0,0,26,4,input
2018-05-09,3673,27.0,1,1,27,4,input
2018-05-10,7381,46.0,2,2,28,4,input
2018-05-13,5942,41.0,0,0,31,5,Y_1m
2018-07-12,2419,15.0,0,0,91,13,Y_3m
