date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2019-01-11,51592,94.0,4,4,1,1,input
2019-01-12,38128,74.0,1,1,2,1,input
2019-01-13,26540,54.0,1,1,3,1,input
2019-01-14,21784,46.0,2,2,4,1,input
2019-01-15,17791,34.0,0,0,5,1,input
2019-01-16,15587,32.0,0,0,6,1,input
2019-01-17,24880,47.0,3,3,7,1,input
2019-01-18,30824,64.0,2,2,8,2,input
2019-01-19,23823,49.0,0,0,9,2,input
2019-01-20,19306,42.0,0,0,10,2,input
2019-01-21,13573,33.0,1,1,11,2,input
2019-01-22,12285,31.0,1,1,12,2,input
2019-01-23,11211,28.0,0,0,13,2,input
2019-01-24,17638,40.0,1,1,14,2,input
2019-01-25,21815,53.0,5,5,15,3,input
2019-01-26,17947,50.0,1,1,16,3,input
2019-01-27,14996,42.0,0,0,17,3,input
2019-01-28,10474,29.0,1,1,18,3,input
2019-01-29,10044,28.0,2,2,19,3,input
2019-01-30,10175,27.0,1,1,20,3,input
2019-01-31,16523,39.0,1,1,21,3,input
2019-02-10,10444,38.0,1,1,31,5,Y_1m
2019-04-11,5874,24.0,0,0,91,13,Y_3m
