date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2016-10-06,18394,0.0,4,4,1,1,input
2016-10-07,13875,0.0,3,3,2,1,input
2016-10-08,10978,0.0,3,3,3,1,input
2016-10-09,11011,0.0,0,0,4,1,input
2016-10-10,13223,58.0,1,1,5,1,input
2016-10-11,9659,0.0,1,1,6,1,input
2016-10-12,10630,53.0,7,7,7,1,input
2016-10-13,15181,0.0,1,1,8,2,input
2016-10-14,10595,0.0,3,3,9,2,input
2016-10-15,11017,0.0,3,3,10,2,input
2016-10-16,10420,0.0,1,1,11,2,input
2016-10-17,8927,0.0,2,2,12,2,input
2016-10-18,8008,0.0,1,1,13,2,input
2016-10-19,8979,48.0,1,1,14,2,input
2016-10-20,13330,0.0,0,0,15,3,input
2016-10-21,9647,0.0,3,3,16,3,input
2016-10-22,8904,0.0,0,0,17,3,input
2016-10-23,9648,0.0,0,0,18,3,input
2016-10-24,7728,0.0,2,2,19,3,input
2016-10-25,6391,0.0,0,0,20,3,input
2016-10-26,7935,0.0,1,1,21,3,input
2016-10-27,10559,0.0,1,1,22,4,input
2016-10-28,7716,0.0,2,2,23,4,input
2016-10-29,7886,0.0,0,0,24,4,input
2016-10-30,7886,0.0,0,0,25,4,input
2016-10-31,5383,0.0,1,1,26,4,input
2016-11-01,4772,0.0,0,0,27,4,input
2016-11-02,6619,0.0,2,2,28,4,input
2016-11-05,9721,0.0,1,1,31,5,Y_1m
2017-01-04,9202,46.0,0,0,91,13,Y_3m
