date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2018-01-04,12486,51.0,5,5,1,1,input
2018-01-05,15464,52.0,5,5,2,1,input
2018-01-06,8855,38.0,1,1,3,1,input
2018-01-07,6785,32.0,3,3,4,1,input
2018-01-08,6930,33.0,2,2,5,1,input
2018-01-09,7538,32.0,2,2,6,1,input
2018-01-10,5510,24.0,0,0,7,1,input
2018-01-11,9261,44.0,1,1,8,2,input
2018-01-12,11399,56.0,3,3,9,2,input
2018-01-13,9376,50.0,4,4,10,2,input
2018-01-14,8812,51.0,0,0,11,2,input
2018-01-15,6978,33.0,1,1,12,2,input
2018-01-16,7095,35.0,0,0,13,2,input
2018-01-17,6297,34.0,0,0,14,2,input
2018-01-18,9659,54.0,3,3,15,3,input
2018-01-19,10836,61.0,5,5,16,3,input
2018-01-20,9475,54.0,0,0,17,3,input
2018-01-21,8449,50.0,2,2,18,3,input
2018-01-22,6338,36.0,3,3,19,3,input
2018-01-23,7104,45.0,3,3,20,3,input
2018-01-24,5863,42.0,2,2,21,3,input
2018-02-03,7425,56.0,2,2,31,5,Y_1m
2018-04-04,4895,40.0,2,2,91,13,Y_3m
