date,gt_score
2022-04-09,100
2022-04-10,44
2022-04-11,28
2022-04-12,17
2022-04-13,14
2022-04-14,23
2022-04-15,25
2022-04-16,46
2022-04-17,27
2022-04-18,16
2022-04-19,13
2022-04-20,9
2022-04-21,19
2022-04-22,10
2022-04-23,36
2022-04-24,21
2022-04-25,11
2022-04-26,12
2022-04-27,12
2022-04-28,14
2022-04-29,21
2022-04-30,33
2022-05-01,23
2022-05-02,13
2022-05-03,11
2022-05-04,10
2022-05-05,14
2022-05-06,10
2022-05-07,33
2022-05-08,22
2022-05-09,13
2022-05-10,8
2022-05-11,8
2022-05-12,30
2022-05-13,19
2022-05-14,36
2022-05-15,18
2022-05-16,11
2022-05-17,0
2022-05-18,7
2022-05-19,14
2022-05-20,9
2022-05-21,21
2022-05-22,7
2022-05-23,9
2022-05-24,9
2022-05-25,7
2022-05-26,14
2022-05-27,7
2022-05-28,24
2022-05-29,12
2022-05-30,12
2022-05-31,12
2022-06-01,8
2022-06-02,10
2022-06-03,7
2022-06-04,28
2022-06-05,13
2022-06-06,10
2022-06-07,11
2022-06-08,8
2022-06-09,18
2022-06-10,14
2022-06-11,25
2022-06-12,22
2022-06-13,13
2022-06-14,12
2022-06-15,15
2022-06-16,13
2022-06-17,9
2022-06-18,33
2022-06-19,21
2022-06-20,13
2022-06-21,12
2022-06-22,14
2022-06-23,15
2022-06-24,17
2022-06-25,42
2022-06-26,32
2022-06-27,18
2022-06-28,19
2022-06-29,13
2022-06-30,22
2022-07-01,15
2022-07-02,35
2022-07-03,33
2022-07-04,15
2022-07-05,14
2022-07-06,14
2022-07-07,19
2022-07-08,12
