date,gt_score
2019-07-08,95
2019-07-09,100
2019-07-10,60
2019-07-11,41
2019-07-12,42
2019-07-13,48
2019-07-14,50
2019-07-15,82
2019-07-16,100
2019-07-17,59
2019-07-18,44
2019-07-19,44
2019-07-20,43
2019-07-21,43
2019-07-22,61
2019-07-23,67
2019-07-24,47
2019-07-25,37
2019-07-26,39
2019-07-27,37
2019-07-28,35
2019-07-29,54
2019-07-30,57
2019-07-31,46
2019-08-01,31
2019-08-02,31
2019-08-03,36
2019-08-04,34
2019-08-05,53
2019-08-06,59
2019-08-07,41
2019-08-08,31
2019-08-09,32
2019-08-10,34
2019-08-11,32
2019-08-12,59
2019-08-13,60
2019-08-14,39
2019-08-15,32
2019-08-16,33
2019-08-17,31
2019-08-18,32
2019-08-19,50
2019-08-20,45
2019-08-21,31
2019-08-22,28
2019-08-23,26
2019-08-24,26
2019-08-25,26
2019-08-26,43
2019-08-27,43
2019-08-28,31
2019-08-29,26
2019-08-30,29
2019-08-31,28
2019-09-01,27
2019-09-02,45
2019-09-03,50
2019-09-04,37
2019-09-05,29
2019-09-06,32
2019-09-07,32
2019-09-08,29
2019-09-09,48
2019-09-10,53
2019-09-11,35
2019-09-12,24
2019-09-13,30
2019-09-14,31
2019-09-15,27
2019-09-16,53
2019-09-17,45
2019-09-18,31
2019-09-19,25
2019-09-20,24
2019-09-21,25
2019-09-22,25
2019-09-23,45
2019-09-24,46
2019-09-25,34
2019-09-26,28
2019-09-27,27
2019-09-28,35
2019-09-29,34
2019-09-30,55
2019-10-01,66
2019-10-02,42
2019-10-03,33
2019-10-04,41
2019-10-05,41
2019-10-06,49
2019-10-07,83
2019-10-08,84
2019-10-09,53
2019-10-10,32
2019-10-11,38
2019-10-12,37
2019-10-13,33
2019-10-14,35
2019-10-15,26
2019-10-16,27
2019-10-17,27
2019-10-18,23
2019-10-19,28
2019-10-20,29
2019-10-21,25
2019-10-22,28
2019-10-23,25
2019-10-24,24
2019-10-25,23
2019-10-26,23
2019-10-27,23
2019-10-28,22
2019-10-29,18
2019-10-30,19
2019-10-31,17
2019-11-01,18
2019-11-02,21
2019-11-03,20
2019-11-04,20
2019-11-05,21
2019-11-06,17
2019-11-07,14
2019-11-08,17
2019-11-09,18
2019-11-10,17
2019-11-11,15
2019-11-12,15
2019-11-13,14
2019-11-14,14
2019-11-15,12
2019-11-16,20
2019-11-17,16
2019-11-18,13
2019-11-19,15
2019-11-20,13
2019-11-21,13
2019-11-22,11
2019-11-23,15
2019-11-24,16
2019-11-25,11
2019-11-26,11
2019-11-27,12
2019-11-28,12
2019-11-29,14
2019-11-30,13
2019-12-01,13
2019-12-02,11
2019-12-03,14
2019-12-04,12
2019-12-05,11
2019-12-06,16
2019-12-07,19
2019-12-08,14
2019-12-09,13
2019-12-10,15
2019-12-11,15
2019-12-12,9
2019-12-13,11
2019-12-14,14
2019-12-15,12
2019-12-16,13
2019-12-17,11
2019-12-18,11
2019-12-19,13
2019-12-20,12
2019-12-21,13
2019-12-22,15
2019-12-23,15
2019-12-24,15
2019-12-25,13
2019-12-26,13
2019-12-27,14
2019-12-28,13
2019-12-29,15
2019-12-30,17
2019-12-31,15
2020-01-01,20
2020-01-02,20
2020-01-03,22
2020-01-04,16
2020-01-05,16
