date,gt_score
2017-04-01,62
2017-04-02,76
2017-04-03,36
2017-04-04,23
2017-04-05,25
2017-04-06,22
2017-04-07,27
2017-04-08,59
2017-04-09,59
2017-04-10,27
2017-04-11,21
2017-04-12,15
2017-04-13,16
2017-04-14,20
2017-04-15,56
2017-04-16,68
2017-04-17,29
2017-04-18,22
2017-04-19,17
2017-04-20,16
2017-04-21,22
2017-04-22,61
2017-04-23,74
2017-04-24,36
2017-04-25,22
2017-04-26,25
2017-04-27,23
2017-04-28,29
2017-04-29,82
2017-04-30,97
2017-05-01,47
2017-05-02,31
2017-05-03,34
2017-05-04,27
2017-05-05,26
2017-05-06,58
2017-05-07,69
2017-05-08,29
2017-05-09,21
2017-05-10,19
2017-05-11,19
2017-05-12,23
2017-05-13,70
2017-05-14,84
2017-05-15,35
2017-05-16,23
2017-05-17,22
2017-05-18,18
2017-05-19,28
2017-05-20,79
2017-05-21,75
2017-05-22,30
2017-05-23,21
2017-05-24,20
2017-05-25,18
2017-05-26,24
2017-05-27,59
2017-05-28,78
2017-05-29,38
2017-05-30,28
2017-05-31,25
2017-06-01,23
2017-06-02,26
2017-06-03,68
2017-06-04,73
2017-06-05,36
2017-06-06,26
2017-06-07,23
2017-06-08,20
2017-06-09,19
2017-06-10,72
2017-06-11,91
2017-06-12,39
2017-06-13,28
2017-06-14,26
2017-06-15,24
2017-06-16,26
2017-06-17,96
2017-06-18,100
2017-06-19,44
2017-06-20,29
2017-06-21,24
2017-06-22,21
2017-06-23,21
2017-06-24,37
2017-06-25,39
2017-06-26,20
2017-06-27,15
2017-06-28,14
2017-06-29,13
2017-06-30,15
2017-07-01,22
2017-07-02,18
2017-07-03,10
2017-07-04,10
2017-07-05,12
2017-07-06,9
2017-07-07,11
2017-07-08,14
2017-07-09,16
2017-07-10,7
2017-07-11,8
2017-07-12,6
2017-07-13,6
2017-07-14,6
2017-07-15,6
2017-07-16,6
2017-07-17,5
2017-07-18,3
2017-07-19,4
2017-07-20,3
2017-07-21,2
2017-07-22,5
2017-07-23,5
2017-07-24,3
2017-07-25,4
2017-07-26,4
2017-07-27,4
2017-07-28,3
2017-07-29,5
2017-07-30,4
2017-07-31,4
2017-08-01,4
2017-08-02,4
2017-08-03,3
2017-08-04,2
2017-08-05,4
2017-08-06,4
2017-08-07,4
2017-08-08,4
2017-08-09,4
2017-08-10,2
2017-08-11,2
2017-08-12,2
2017-08-13,3
2017-08-14,4
2017-08-15,2
2017-08-16,2
2017-08-17,3
2017-08-18,3
2017-08-19,0
2017-08-20,3
2017-08-21,2
2017-08-22,2
2017-08-23,3
2017-08-24,2
2017-08-25,2
2017-08-26,3
2017-08-27,0
2017-08-28,2
2017-08-29,2
