date,pv,edit_count,editor_count
2018-07-23,9112,4,4
2018-07-24,5130,0,0
2018-07-25,3591,2,2
2018-07-26,2670,0,0
2018-07-27,2470,0,0
2018-07-28,3139,1,1
2018-07-29,4613,2,2
2018-07-30,4641,0,0
2018-07-31,3071,0,0
2018-08-01,2355,0,0
2018-08-02,3266,0,0
2018-08-03,2227,0,0
2018-08-04,2445,0,0
2018-08-05,3308,1,1
2018-08-06,3262,1,1
2018-08-07,2246,0,0
2018-08-08,2019,0,0
2018-08-09,1828,0,0
2018-08-10,1893,1,1
2018-08-11,2155,0,0
2018-08-12,3546,1,1
2018-08-13,3794,2,2
2018-08-14,3057,1,1
2018-08-15,2516,0,0
2018-08-16,2375,0,0
2018-08-17,2117,0,0
2018-08-18,2065,0,0
2018-08-19,2945,1,1
2018-08-20,2757,0,0
2018-08-21,2126,0,0
2018-08-22,1824,0,0
2018-08-23,1746,0,0
2018-08-24,1673,0,0
2018-08-25,1924,0,0
2018-08-26,2813,0,0
2018-08-27,2645,2,2
2018-08-28,2064,0,0
2018-08-29,1793,1,1
2018-08-30,1587,0,0
2018-08-31,1538,0,0
2018-09-01,1789,0,0
2018-09-02,3214,0,0
2018-09-03,2741,1,1
2018-09-04,2245,0,0
2018-09-05,1932,0,0
2018-09-06,1546,0,0
2018-09-07,1642,0,0
2018-09-08,1902,0,0
2018-09-09,3054,1,1
2018-09-10,2808,0,0
2018-09-11,1942,1,1
2018-09-12,1670,0,0
2018-09-13,1531,0,0
2018-09-14,1549,2,2
2018-09-15,1854,0,0
2018-09-16,3002,1,1
2018-09-17,3944,1,1
2018-09-18,2375,0,0
2018-09-19,1818,0,0
2018-09-20,1642,0,0
2018-09-21,1605,0,0
2018-09-22,1824,0,0
2018-09-23,3279,1,1
2018-09-24,4124,0,0
2018-09-25,2579,0,0
2018-09-26,2004,0,0
2018-09-27,1767,1,1
2018-09-28,1718,0,0
2018-09-29,2321,0,0
2018-09-30,3786,0,0
2018-10-01,3943,0,0
2018-10-02,2709,1,1
2018-10-03,2196,0,0
2018-10-04,2136,0,0
2018-10-05,2007,0,0
2018-10-06,2470,0,0
2018-10-07,4515,1,1
2018-10-08,5293,0,0
2018-10-09,2561,0,0
2018-10-10,2014,0,0
2018-10-11,1700,0,0
2018-10-12,1738,1,1
2018-10-13,2161,0,0
2018-10-14,6338,5,5
2018-10-15,7941,5,5
2018-10-16,4569,1,1
2018-10-17,3418,1,1
2018-10-18,2895,0,0
2018-10-19,2685,0,0
2018-10-20,3366,0,0
2018-10-21,5896,0,0
