date,pv,edit_count,editor_count
2019-04-29,10477,2,2
2019-04-30,7140,0,0
2019-05-01,5757,0,0
2019-05-02,5159,0,0
2019-05-03,5410,0,0
2019-05-04,6001,0,0
2019-05-05,11891,3,3
2019-05-06,9945,4,4
2019-05-07,3952,1,1
2019-05-08,3233,0,0
2019-05-09,3977,0,0
2019-05-10,3214,0,0
2019-05-11,4606,0,0
2019-05-12,9943,2,2
2019-05-13,8238,1,1
2019-05-14,6234,0,0
2019-05-15,5339,1,1
2019-05-16,5837,0,0
2019-05-17,3509,0,0
2019-05-18,4182,0,0
2019-05-19,6620,2,2
2019-05-20,7999,0,0
2019-05-21,6193,0,0
2019-05-22,5898,0,0
2019-05-23,4688,0,0
2019-05-24,4463,2,2
2019-05-25,5867,0,0
2019-05-26,12868,0,0
2019-05-27,12695,2,2
2019-05-28,9152,0,0
2019-05-29,6672,0,0
2019-05-30,5472,0,0
2019-05-31,4867,0,0
2019-06-01,5836,1,1
2019-06-02,10779,0,0
2019-06-03,9616,1,1
2019-06-04,6347,1,1
2019-06-05,5023,0,0
2019-06-06,4256,0,0
2019-06-07,5213,0,0
2019-06-08,6185,0,0
2019-06-09,9103,1,1
2019-06-10,8145,1,1
2019-06-11,5601,0,0
2019-06-12,4662,0,0
2019-06-13,4291,0,0
2019-06-14,4328,0,0
2019-06-15,5814,0,0
2019-06-16,9789,1,1
2019-06-17,9568,2,2
2019-06-18,6607,0,0
2019-06-19,5635,0,0
2019-06-20,4660,0,0
2019-06-21,4371,1,1
2019-06-22,5929,0,0
2019-06-23,11263,1,1
2019-06-24,9576,1,1
2019-06-25,5083,0,0
2019-06-26,3612,0,0
2019-06-27,3693,0,0
2019-06-28,3449,0,0
2019-06-29,5359,0,0
2019-06-30,14129,7,7
2019-07-01,17290,4,4
2019-07-02,9418,1,1
2019-07-03,7969,0,0
2019-07-04,6991,0,0
2019-07-05,6583,1,1
2019-07-06,8017,0,0
2019-07-07,11780,0,0
2019-07-08,8967,0,0
2019-07-09,6233,0,0
2019-07-10,5560,0,0
2019-07-11,4943,0,0
2019-07-12,4661,0,0
2019-07-13,5958,0,0
2019-07-14,6778,0,0
2019-07-15,5996,0,0
2019-07-16,4003,0,0
2019-07-17,3612,1,1
2019-07-18,3994,2,2
2019-07-19,6639,1,1
2019-07-20,5395,0,0
2019-07-21,4512,0,0
2019-07-22,3344,0,0
2019-07-23,2925,2,2
2019-07-24,2960,0,0
2019-07-25,2884,1,1
2019-07-26,2817,0,0
2019-07-27,3448,0,0
2019-07-28,3644,0,0
